#wls	flux	fluxerr
1.592975E+03	8.767375E-06	3.045439E-06
1.632799E+03	8.861015E-06	3.067377E-06
1.672624E+03	8.961009E-06	3.091032E-06
1.712448E+03	9.071292E-06	3.117719E-06
1.752272E+03	9.188663E-06	3.146288E-06
1.792097E+03	9.313475E-06	3.176818E-06
1.831921E+03	9.449729E-06	3.210622E-06
1.871746E+03	9.594184E-06	3.246538E-06
1.911570E+03	9.747210E-06	3.284639E-06
1.951394E+03	9.912908E-06	3.326245E-06
1.991219E+03	1.009177E-05	3.371441E-06
2.031043E+03	1.028051E-05	3.419055E-06
2.070867E+03	1.047957E-05	3.469167E-06
2.110692E+03	1.069332E-05	3.523135E-06
2.150516E+03	1.091848E-05	3.579788E-06
2.190341E+03	1.115961E-05	3.640528E-06
2.230165E+03	1.141347E-05	3.704193E-06
2.269989E+03	1.168489E-05	3.772240E-06
2.309814E+03	1.197072E-05	3.843534E-06
2.349638E+03	1.227612E-05	3.919606E-06
2.389462E+03	1.260241E-05	4.000720E-06
2.429287E+03	1.294235E-05	4.084437E-06
2.469111E+03	1.331048E-05	4.175189E-06
2.508936E+03	1.369994E-05	4.270627E-06
2.548760E+03	1.411273E-05	4.371182E-06
2.588584E+03	1.455582E-05	4.478801E-06
2.628409E+03	1.503217E-05	4.594137E-06
2.668233E+03	1.554026E-05	4.716453E-06
2.708057E+03	1.608871E-05	4.848066E-06
2.747882E+03	1.667688E-05	4.988440E-06
2.787706E+03	1.731491E-05	5.140230E-06
2.827531E+03	1.800337E-05	5.303168E-06
2.867355E+03	1.875438E-05	5.480340E-06
2.907179E+03	1.957599E-05	5.673523E-06
2.947004E+03	2.047151E-05	5.883033E-06
2.986828E+03	2.145735E-05	6.112858E-06
2.996784E+03	2.171679E-05	6.173068E-06
3.006740E+03	2.198876E-05	6.236441E-06
3.016696E+03	2.226082E-05	6.299422E-06
3.026652E+03	2.254598E-05	6.365686E-06
3.036609E+03	2.283152E-05	6.431621E-06
3.046565E+03	2.313075E-05	6.500967E-06
3.056521E+03	2.343074E-05	6.570064E-06
3.066477E+03	2.374503E-05	6.642697E-06
3.076433E+03	2.406042E-05	6.715152E-06
3.086389E+03	2.439080E-05	6.791291E-06
3.096345E+03	2.472969E-05	6.869278E-06
3.106301E+03	2.507030E-05	6.947217E-06
3.116257E+03	2.542699E-05	7.029066E-06
3.126213E+03	2.579308E-05	7.112947E-06
3.136169E+03	2.616890E-05	7.198928E-06
3.146126E+03	2.655476E-05	7.287076E-06
3.156082E+03	2.695105E-05	7.377468E-06
3.166038E+03	2.735808E-05	7.470164E-06
3.175994E+03	2.777625E-05	7.565245E-06
3.185950E+03	2.820594E-05	7.662792E-06
3.195906E+03	2.864752E-05	7.762874E-06
3.205862E+03	2.910141E-05	7.865577E-06
3.215818E+03	2.956803E-05	7.970982E-06
3.225774E+03	3.004782E-05	8.079174E-06
3.235730E+03	3.054121E-05	8.190240E-06
3.245687E+03	3.105709E-05	8.306521E-06
3.255643E+03	3.157920E-05	8.423627E-06
3.265599E+03	3.211635E-05	8.543882E-06
3.275555E+03	3.267780E-05	8.669706E-06
3.285511E+03	3.324664E-05	8.796567E-06
3.295467E+03	3.384109E-05	8.929250E-06
3.305423E+03	3.444374E-05	9.063110E-06
3.315379E+03	3.507338E-05	9.203057E-06
3.325335E+03	3.571207E-05	9.344328E-06
3.335291E+03	3.637919E-05	9.491955E-06
3.345247E+03	3.706603E-05	9.643600E-06
3.355204E+03	3.776328E-05	9.796795E-06
3.365160E+03	3.849122E-05	9.956760E-06
3.375116E+03	3.924075E-05	1.012107E-05
3.385072E+03	4.001250E-05	1.028982E-05
3.395028E+03	4.079654E-05	1.046042E-05
3.404984E+03	4.161452E-05	1.063837E-05
3.414940E+03	4.245670E-05	1.082109E-05
3.424896E+03	4.332374E-05	1.100868E-05
3.434852E+03	4.421632E-05	1.120126E-05
3.444808E+03	4.513509E-05	1.139892E-05
3.454764E+03	4.608075E-05	1.160176E-05
3.464721E+03	4.705392E-05	1.180986E-05
3.474677E+03	4.805527E-05	1.202332E-05
3.484633E+03	4.909787E-05	1.224533E-05
3.494589E+03	5.015774E-05	1.246981E-05
3.504545E+03	5.124765E-05	1.269987E-05
3.514501E+03	5.236819E-05	1.293557E-05
3.524457E+03	5.353336E-05	1.318028E-05
3.534413E+03	5.471711E-05	1.342749E-05
3.544369E+03	5.593310E-05	1.368047E-05
3.554325E+03	5.719597E-05	1.394271E-05
3.564282E+03	5.847800E-05	1.420734E-05
3.574238E+03	5.980823E-05	1.448133E-05
3.584194E+03	6.115773E-05	1.475757E-05
3.594150E+03	6.255655E-05	1.504322E-05
3.604106E+03	6.397443E-05	1.533090E-05
3.614062E+03	6.544250E-05	1.562797E-05
3.624018E+03	6.692907E-05	1.592676E-05
3.633974E+03	6.846640E-05	1.623484E-05
3.643930E+03	7.003827E-05	1.654825E-05
3.653886E+03	7.164443E-05	1.686681E-05
3.663842E+03	7.326691E-05	1.718621E-05
3.673799E+03	7.494008E-05	1.751443E-05
3.683755E+03	7.664606E-05	1.784715E-05
3.693711E+03	7.838414E-05	1.818410E-05
3.703667E+03	8.015345E-05	1.852498E-05
3.713623E+03	8.195301E-05	1.886947E-05
3.723579E+03	8.378170E-05	1.921720E-05
3.733535E+03	8.563828E-05	1.956781E-05
3.743491E+03	8.752136E-05	1.992088E-05
3.753447E+03	8.942945E-05	2.027598E-05
3.763403E+03	9.136087E-05	2.063264E-05
3.773359E+03	9.331389E-05	2.099040E-05
3.783316E+03	9.528660E-05	2.134875E-05
3.793272E+03	9.727700E-05	2.170717E-05
3.803228E+03	9.930591E-05	2.207021E-05
3.813184E+03	1.013256E-04	2.242719E-05
3.823140E+03	1.033564E-04	2.278258E-05
3.833096E+03	1.054199E-04	2.314110E-05
3.843052E+03	1.074659E-04	2.349163E-05
3.853008E+03	1.095156E-04	2.383884E-05
3.862964E+03	1.115919E-04	2.418763E-05
3.872920E+03	1.136419E-04	2.452651E-05
3.882877E+03	1.156882E-04	2.486037E-05
3.892833E+03	1.177547E-04	2.519435E-05
3.902789E+03	1.197865E-04	2.551662E-05
3.912745E+03	1.218347E-04	2.583814E-05
3.922701E+03	1.238429E-04	2.614692E-05
3.932657E+03	1.258640E-04	2.645418E-05
3.942613E+03	1.278690E-04	2.675378E-05
3.952569E+03	1.298274E-04	2.703939E-05
3.962525E+03	1.317949E-04	2.732270E-05
3.972481E+03	1.337127E-04	2.759149E-05
3.982437E+03	1.356384E-04	2.785774E-05
3.992394E+03	1.375423E-04	2.811535E-05
4.002350E+03	1.394243E-04	2.836431E-05
4.012306E+03	1.412537E-04	2.859847E-05
4.022262E+03	1.430924E-04	2.883041E-05
4.032218E+03	1.449106E-04	2.905416E-05
4.042174E+03	1.467098E-04	2.927002E-05
4.052130E+03	1.484916E-04	2.947836E-05
4.062086E+03	1.502259E-04	2.967326E-05
4.072042E+03	1.519794E-04	2.986798E-05
4.081998E+03	1.537231E-04	3.005676E-05
4.091954E+03	1.554603E-04	3.024024E-05
4.101911E+03	1.571947E-04	3.041915E-05
4.111867E+03	1.589303E-04	3.059426E-05
4.121823E+03	1.606716E-04	3.076640E-05
4.131779E+03	1.624233E-04	3.093645E-05
4.141735E+03	1.641905E-04	3.110530E-05
4.151691E+03	1.659785E-04	3.127391E-05
4.161647E+03	1.677929E-04	3.144324E-05
4.171603E+03	1.696396E-04	3.161430E-05
4.181559E+03	1.715247E-04	3.178807E-05
4.191515E+03	1.734542E-04	3.196557E-05
4.201472E+03	1.754347E-04	3.214783E-05
4.211428E+03	1.774726E-04	3.233583E-05
4.221384E+03	1.795745E-04	3.253058E-05
4.231340E+03	1.817471E-04	3.273306E-05
4.241296E+03	1.839970E-04	3.294424E-05
4.251252E+03	1.863692E-04	3.317181E-05
4.261208E+03	1.887945E-04	3.340317E-05
4.271164E+03	1.913173E-04	3.364593E-05
4.281120E+03	1.939443E-04	3.390092E-05
4.291076E+03	1.966822E-04	3.416893E-05
4.301032E+03	1.995373E-04	3.445069E-05
4.310989E+03	2.025567E-04	3.475390E-05
4.320945E+03	2.056659E-04	3.506525E-05
4.330901E+03	2.089109E-04	3.539229E-05
4.340857E+03	2.122979E-04	3.573553E-05
4.350813E+03	2.158325E-04	3.609545E-05
4.360769E+03	2.195636E-04	3.647967E-05
4.370725E+03	2.234101E-04	3.687411E-05
4.380681E+03	2.274197E-04	3.728621E-05
4.390637E+03	2.315971E-04	3.771614E-05
4.400593E+03	2.359464E-04	3.816402E-05
4.410549E+03	2.405187E-04	3.863741E-05
4.420506E+03	2.452239E-04	3.912119E-05
4.430462E+03	2.501112E-04	3.962268E-05
4.440418E+03	2.551833E-04	4.014164E-05
4.450374E+03	2.604922E-04	4.068558E-05
4.460330E+03	2.659395E-04	4.123837E-05
4.470286E+03	2.715751E-04	4.180723E-05
4.480242E+03	2.773995E-04	4.239153E-05
4.490198E+03	2.834119E-04	4.299051E-05
4.500154E+03	2.896663E-04	4.361159E-05
4.510110E+03	2.960515E-04	4.423732E-05
4.520067E+03	3.026188E-04	4.487483E-05
4.530023E+03	3.093654E-04	4.552303E-05
4.539979E+03	3.162869E-04	4.618063E-05
4.549935E+03	3.234406E-04	4.685531E-05
4.559891E+03	3.307000E-04	4.752806E-05
4.569847E+03	3.381199E-04	4.820627E-05
4.579803E+03	3.456936E-04	4.888842E-05
4.589759E+03	3.534154E-04	4.957314E-05
4.599715E+03	3.612779E-04	5.025887E-05
4.609671E+03	3.692745E-04	5.094417E-05
4.619627E+03	3.773972E-04	5.162745E-05
4.629584E+03	3.857106E-04	5.231699E-05
4.639540E+03	3.940654E-04	5.299205E-05
4.649496E+03	4.025235E-04	5.366070E-05
4.659452E+03	4.110775E-04	5.432157E-05
4.669408E+03	4.197200E-04	5.497333E-05
4.679364E+03	4.284428E-04	5.561461E-05
4.689320E+03	4.372388E-04	5.624419E-05
4.699276E+03	4.461002E-04	5.686080E-05
4.709232E+03	4.550201E-04	5.746332E-05
4.719188E+03	4.639909E-04	5.805061E-05
4.729144E+03	4.730059E-04	5.862164E-05
4.739101E+03	4.820576E-04	5.917534E-05
4.749057E+03	4.910512E-04	5.970005E-05
4.759013E+03	5.001550E-04	6.021627E-05
4.768969E+03	5.092753E-04	6.071242E-05
4.778925E+03	5.184051E-04	6.118765E-05
4.788881E+03	5.275374E-04	6.164113E-05
4.798837E+03	5.366656E-04	6.207212E-05
4.808793E+03	5.456855E-04	6.246872E-05
4.818749E+03	5.547830E-04	6.285244E-05
4.828705E+03	5.638554E-04	6.321150E-05
4.838662E+03	5.727949E-04	6.353412E-05
4.848618E+03	5.817954E-04	6.384207E-05
4.858574E+03	5.907506E-04	6.412368E-05
4.868530E+03	5.995494E-04	6.436724E-05
4.878486E+03	6.083943E-04	6.459488E-05
