#wls	flux	fluxerr
1.592975E+03	5.543313E-02	1.744357E-03
1.632799E+03	5.623660E-02	1.756448E-03
1.672624E+03	5.673680E-02	1.758497E-03
1.712448E+03	5.690382E-02	1.749792E-03
1.752272E+03	5.671381E-02	1.729845E-03
1.792097E+03	5.614836E-02	1.698366E-03
1.831921E+03	5.520403E-02	1.655545E-03
1.871746E+03	5.389791E-02	1.602194E-03
1.911570E+03	5.228609E-02	1.540271E-03
1.951394E+03	5.049125E-02	1.473623E-03
1.991219E+03	4.876825E-02	1.409793E-03
2.031043E+03	4.760424E-02	1.362693E-03
2.070867E+03	4.766335E-02	1.350684E-03
2.110692E+03	4.934851E-02	1.384012E-03
2.150516E+03	5.258484E-02	1.459149E-03
2.190341E+03	5.685499E-02	1.560466E-03
2.230165E+03	6.132502E-02	1.664332E-03
2.269989E+03	6.465874E-02	1.734653E-03
2.309814E+03	6.669156E-02	1.768083E-03
2.349638E+03	6.815935E-02	1.785102E-03
2.389462E+03	6.934702E-02	1.793608E-03
2.429287E+03	7.037650E-02	1.796975E-03
2.469111E+03	7.138124E-02	1.798714E-03
2.508936E+03	7.253084E-02	1.803060E-03
2.548760E+03	7.396891E-02	1.813377E-03
2.588584E+03	7.534437E-02	1.820873E-03
2.628409E+03	7.533684E-02	1.794163E-03
2.668233E+03	7.430857E-02	1.743216E-03
2.708057E+03	7.350374E-02	1.697884E-03
2.747882E+03	7.313143E-02	1.662701E-03
2.787706E+03	7.310643E-02	1.635307E-03
2.827531E+03	7.334481E-02	1.613487E-03
2.867355E+03	7.378622E-02	1.595660E-03
2.907179E+03	7.438372E-02	1.580617E-03
2.947004E+03	7.509783E-02	1.567373E-03
2.986828E+03	7.589187E-02	1.555063E-03
2.996784E+03	7.609874E-02	1.552039E-03
3.006740E+03	7.630773E-02	1.549011E-03
3.016696E+03	7.651880E-02	1.545977E-03
3.026652E+03	7.673070E-02	1.542913E-03
3.036609E+03	7.694432E-02	1.539835E-03
3.046565E+03	7.715956E-02	1.536742E-03
3.056521E+03	7.737552E-02	1.533617E-03
3.066477E+03	7.759169E-02	1.530449E-03
3.076433E+03	7.780762E-02	1.527230E-03
3.086389E+03	7.802220E-02	1.523938E-03
3.096345E+03	7.823539E-02	1.520575E-03
3.106301E+03	7.844619E-02	1.517122E-03
3.116257E+03	7.865462E-02	1.513580E-03
3.126213E+03	7.885978E-02	1.509933E-03
3.136169E+03	7.906141E-02	1.506178E-03
3.146126E+03	7.925944E-02	1.502315E-03
3.156082E+03	7.945301E-02	1.498330E-03
3.166038E+03	7.964201E-02	1.494222E-03
3.175994E+03	7.982605E-02	1.489987E-03
3.185950E+03	8.000508E-02	1.485626E-03
3.195906E+03	8.017826E-02	1.481124E-03
3.205862E+03	8.034581E-02	1.476489E-03
3.215818E+03	8.050683E-02	1.471707E-03
3.225774E+03	8.066051E-02	1.466766E-03
3.235730E+03	8.080611E-02	1.461654E-03
3.245687E+03	8.094241E-02	1.456354E-03
3.255643E+03	8.106660E-02	1.450818E-03
3.265599E+03	8.117756E-02	1.445031E-03
3.275555E+03	8.127489E-02	1.438991E-03
3.285511E+03	8.135755E-02	1.432683E-03
3.295467E+03	8.142298E-02	1.426069E-03
3.305423E+03	8.146659E-02	1.419074E-03
3.315379E+03	8.148251E-02	1.411604E-03
3.325335E+03	8.146129E-02	1.403504E-03
3.335291E+03	8.139322E-02	1.394621E-03
3.345247E+03	8.127000E-02	1.384825E-03
3.355204E+03	8.109256E-02	1.374151E-03
3.365160E+03	8.087533E-02	1.362857E-03
3.375116E+03	8.064202E-02	1.351352E-03
3.385072E+03	8.041513E-02	1.340017E-03
3.395028E+03	8.021346E-02	1.329163E-03
3.404984E+03	8.005119E-02	1.319017E-03
3.414940E+03	7.993577E-02	1.309691E-03
3.424896E+03	7.987093E-02	1.301234E-03
3.434852E+03	7.985498E-02	1.293604E-03
3.444808E+03	7.988590E-02	1.286758E-03
3.454764E+03	7.996534E-02	1.280710E-03
3.464721E+03	8.009556E-02	1.275483E-03
3.474677E+03	8.027347E-02	1.271016E-03
3.484633E+03	8.048980E-02	1.267152E-03
3.494589E+03	8.072871E-02	1.263632E-03
3.504545E+03	8.096941E-02	1.260129E-03
3.514501E+03	8.118686E-02	1.256257E-03
3.524457E+03	8.135648E-02	1.251644E-03
3.534413E+03	8.146101E-02	1.246041E-03
3.544369E+03	8.149423E-02	1.239372E-03
3.554325E+03	8.145852E-02	1.231692E-03
3.564282E+03	8.136488E-02	1.223186E-03
3.574238E+03	8.123544E-02	1.214202E-03
3.584194E+03	8.109135E-02	1.205061E-03
3.594150E+03	8.095130E-02	1.196043E-03
3.604106E+03	8.083357E-02	1.187416E-03
3.614062E+03	8.074823E-02	1.179319E-03
3.624018E+03	8.069623E-02	1.171759E-03
3.633974E+03	8.066696E-02	1.164572E-03
3.643930E+03	8.064091E-02	1.157472E-03
3.653886E+03	8.058883E-02	1.150042E-03
3.663842E+03	8.047900E-02	1.141837E-03
3.673799E+03	8.027664E-02	1.132380E-03
3.683755E+03	7.994570E-02	1.121188E-03
3.693711E+03	7.945598E-02	1.107870E-03
3.703667E+03	7.878408E-02	1.092140E-03
3.713623E+03	7.792475E-02	1.073969E-03
3.723579E+03	7.690049E-02	1.053709E-03
3.733535E+03	7.575083E-02	1.031936E-03
3.743491E+03	7.452808E-02	1.009386E-03
3.753447E+03	7.329875E-02	9.869724E-04
3.763403E+03	7.212974E-02	9.655891E-04
3.773359E+03	7.107608E-02	9.459533E-04
3.783316E+03	7.017623E-02	9.285456E-04
3.793272E+03	6.945145E-02	9.136085E-04
3.803228E+03	6.890670E-02	9.011661E-04
3.813184E+03	6.853074E-02	8.910296E-04
3.823140E+03	6.829805E-02	8.828305E-04
3.833096E+03	6.817513E-02	8.761056E-04
3.843052E+03	6.812453E-02	8.703513E-04
3.853008E+03	6.810537E-02	8.650324E-04
3.862964E+03	6.808091E-02	8.596780E-04
3.872920E+03	6.802540E-02	8.539662E-04
3.882877E+03	6.792011E-02	8.476702E-04
3.892833E+03	6.774999E-02	8.406146E-04
3.902789E+03	6.750792E-02	8.327255E-04
3.912745E+03	6.719341E-02	8.240126E-04
3.922701E+03	6.681708E-02	8.146210E-04
3.932657E+03	6.640202E-02	8.048436E-04
3.942613E+03	6.598118E-02	7.950858E-04
3.952569E+03	6.559031E-02	7.857768E-04
3.962525E+03	6.526199E-02	7.772982E-04
3.972481E+03	6.502127E-02	7.699339E-04
3.982437E+03	6.488254E-02	7.638351E-04
3.992394E+03	6.484204E-02	7.589371E-04
4.002350E+03	6.487935E-02	7.549830E-04
4.012306E+03	6.495932E-02	7.515508E-04
4.022262E+03	6.503515E-02	7.480946E-04
4.032218E+03	6.505143E-02	7.439822E-04
4.042174E+03	6.495403E-02	7.386107E-04
4.052130E+03	6.469726E-02	7.314864E-04
4.062086E+03	6.425018E-02	7.222933E-04
4.072042E+03	6.359909E-02	7.109147E-04
4.081998E+03	6.275445E-02	6.975060E-04
4.091954E+03	6.174340E-02	6.824029E-04
4.101911E+03	6.060363E-02	6.660502E-04
4.111867E+03	5.937920E-02	6.489519E-04
4.121823E+03	5.811735E-02	6.316357E-04
4.131779E+03	5.686543E-02	6.146186E-04
4.141735E+03	5.567061E-02	5.984040E-04
4.151691E+03	5.457695E-02	5.834515E-04
4.161647E+03	5.362485E-02	5.701714E-04
4.171603E+03	5.285116E-02	5.589278E-04
4.181559E+03	5.228625E-02	5.500086E-04
4.191515E+03	5.195009E-02	5.435873E-04
4.201472E+03	5.185516E-02	5.397560E-04
4.211428E+03	5.200009E-02	5.384616E-04
4.221384E+03	5.236647E-02	5.394771E-04
4.231340E+03	5.291953E-02	5.424128E-04
4.241296E+03	5.360835E-02	5.467228E-04
4.251252E+03	5.436827E-02	5.517328E-04
4.261208E+03	5.512808E-02	5.567163E-04
4.271164E+03	5.581792E-02	5.609745E-04
4.281120E+03	5.637889E-02	5.639315E-04
4.291076E+03	5.677818E-02	5.652817E-04
4.301032E+03	5.700320E-02	5.649256E-04
4.310989E+03	5.705572E-02	5.629060E-04
4.320945E+03	5.694775E-02	5.593639E-04
4.330901E+03	5.669566E-02	5.544792E-04
4.340857E+03	5.631954E-02	5.484636E-04
4.350813E+03	5.584444E-02	5.415732E-04
4.360769E+03	5.529474E-02	5.340530E-04
4.370725E+03	5.469393E-02	5.261352E-04
4.380681E+03	5.407008E-02	5.180916E-04
4.390637E+03	5.345216E-02	5.101986E-04
4.400593E+03	5.286619E-02	5.027004E-04
4.410549E+03	5.233515E-02	4.958082E-04
4.420506E+03	5.187659E-02	4.896799E-04
4.430462E+03	5.149841E-02	4.843798E-04
4.440418E+03	5.119991E-02	4.798914E-04
4.450374E+03	5.096969E-02	4.760986E-04
4.460330E+03	5.078887E-02	4.728176E-04
4.470286E+03	5.062902E-02	4.697785E-04
4.480242E+03	5.045947E-02	4.666944E-04
4.490198E+03	5.025416E-02	4.633245E-04
4.500154E+03	4.999948E-02	4.595456E-04
4.510110E+03	4.968888E-02	4.553005E-04
4.520067E+03	4.931641E-02	4.505381E-04
4.530023E+03	4.887338E-02	4.451829E-04
4.539979E+03	4.835328E-02	4.391795E-04
4.549935E+03	4.775280E-02	4.325026E-04
4.559891E+03	4.707604E-02	4.251935E-04
4.569847E+03	4.633240E-02	4.173408E-04
4.579803E+03	4.553481E-02	4.090638E-04
4.589759E+03	4.470136E-02	4.005264E-04
4.599715E+03	4.385260E-02	3.919130E-04
4.609671E+03	4.300814E-02	3.833977E-04
4.619627E+03	4.218888E-02	3.751644E-04
4.629584E+03	4.141674E-02	3.674041E-04
4.639540E+03	4.071386E-02	3.603079E-04
4.649496E+03	4.010273E-02	3.540680E-04
4.659452E+03	3.960680E-02	3.488831E-04
4.669408E+03	3.924824E-02	3.449391E-04
4.679364E+03	3.904656E-02	3.423973E-04
4.689320E+03	3.901931E-02	3.414007E-04
4.699276E+03	3.917832E-02	3.420411E-04
4.709232E+03	3.952905E-02	3.443545E-04
4.719188E+03	4.006936E-02	3.483104E-04
4.729144E+03	4.078771E-02	3.537972E-04
4.739101E+03	4.165945E-02	3.605908E-04
4.749057E+03	4.264536E-02	3.683435E-04
4.759013E+03	4.369580E-02	3.766204E-04
4.768969E+03	4.475047E-02	3.848985E-04
4.778925E+03	4.574528E-02	3.926267E-04
4.788881E+03	4.662044E-02	3.992953E-04
4.798837E+03	4.732964E-02	4.045142E-04
4.808793E+03	4.784231E-02	4.080306E-04
