#wls	flux	fluxerr
1.592975E+03	1.718529E-03	7.857226E-06
1.632799E+03	1.648355E-03	7.536384E-06
1.672624E+03	1.578500E-03	7.217004E-06
1.712448E+03	1.510344E-03	6.905390E-06
1.752272E+03	1.445578E-03	6.609276E-06
1.792097E+03	1.385883E-03	6.336345E-06
1.831921E+03	1.333327E-03	6.096055E-06
1.871746E+03	1.290268E-03	5.899190E-06
1.911570E+03	1.259504E-03	5.758532E-06
1.951394E+03	1.243880E-03	5.687101E-06
1.991219E+03	1.246574E-03	5.699416E-06
2.031043E+03	1.270804E-03	5.810195E-06
2.070867E+03	1.319882E-03	6.034584E-06
2.110692E+03	1.396045E-03	6.382808E-06
2.150516E+03	1.500351E-03	6.859702E-06
2.190341E+03	1.629441E-03	7.449908E-06
2.230165E+03	1.775884E-03	8.119456E-06
2.269989E+03	1.929383E-03	8.821262E-06
2.309814E+03	2.080370E-03	9.511583E-06
2.349638E+03	2.222909E-03	1.016328E-05
2.389462E+03	2.355768E-03	1.077072E-05
2.429287E+03	2.480139E-03	1.133935E-05
2.469111E+03	2.598254E-03	1.187938E-05
2.508936E+03	2.712833E-03	1.240325E-05
2.548760E+03	2.827385E-03	1.292699E-05
2.588584E+03	2.947334E-03	1.347540E-05
2.628409E+03	3.078120E-03	1.407336E-05
2.668233E+03	3.222287E-03	1.473250E-05
2.708057E+03	3.378318E-03	1.544588E-05
2.747882E+03	3.546439E-03	1.621454E-05
2.787706E+03	3.727879E-03	1.704410E-05
2.827531E+03	3.925826E-03	1.794912E-05
2.867355E+03	4.143399E-03	1.894388E-05
2.907179E+03	4.383634E-03	2.004225E-05
2.947004E+03	4.649181E-03	2.125635E-05
2.986828E+03	4.942421E-03	2.259706E-05
2.996784E+03	5.020375E-03	2.295347E-05
3.006740E+03	5.100302E-03	2.331891E-05
3.016696E+03	5.181990E-03	2.369239E-05
3.026652E+03	5.265919E-03	2.407612E-05
3.036609E+03	5.351695E-03	2.446829E-05
3.046565E+03	5.439613E-03	2.487026E-05
3.056521E+03	5.529684E-03	2.528207E-05
3.066477E+03	5.622157E-03	2.570486E-05
3.076433E+03	5.716825E-03	2.613769E-05
3.086389E+03	5.813492E-03	2.657965E-05
3.096345E+03	5.912884E-03	2.703408E-05
3.106301E+03	6.014351E-03	2.749799E-05
3.116257E+03	6.118410E-03	2.797376E-05
3.126213E+03	6.224663E-03	2.845955E-05
3.136169E+03	6.333646E-03	2.895783E-05
3.146126E+03	6.445443E-03	2.946898E-05
3.156082E+03	6.559689E-03	2.999132E-05
3.166038E+03	6.676955E-03	3.052746E-05
3.175994E+03	6.796895E-03	3.107584E-05
3.185950E+03	6.920111E-03	3.163919E-05
3.195906E+03	7.046517E-03	3.221712E-05
3.205862E+03	7.176254E-03	3.281029E-05
3.215818E+03	7.309481E-03	3.341941E-05
3.225774E+03	7.446353E-03	3.404520E-05
3.235730E+03	7.587014E-03	3.468831E-05
3.245687E+03	7.731592E-03	3.534933E-05
3.255643E+03	7.880197E-03	3.602876E-05
3.265599E+03	8.032656E-03	3.672581E-05
3.275555E+03	8.189226E-03	3.744166E-05
3.285511E+03	8.349878E-03	3.817617E-05
3.295467E+03	8.514269E-03	3.892778E-05
3.305423E+03	8.682469E-03	3.969680E-05
3.315379E+03	8.854015E-03	4.048112E-05
3.325335E+03	9.028899E-03	4.128070E-05
3.335291E+03	9.206608E-03	4.209320E-05
3.345247E+03	9.386898E-03	4.291749E-05
3.355204E+03	9.569576E-03	4.375271E-05
3.365160E+03	9.754773E-03	4.459944E-05
