#wls	flux	fluxerr
1.592975E+03	3.431437E-17	2.311300E-19
1.632799E+03	3.430277E-17	2.310504E-19
1.672624E+03	3.434740E-17	2.313496E-19
1.712448E+03	3.450354E-17	2.324000E-19
1.752272E+03	3.475161E-17	2.340695E-19
1.792097E+03	3.509499E-17	2.363809E-19
1.831921E+03	3.556148E-17	2.395215E-19
1.871746E+03	3.611614E-17	2.432560E-19
1.911570E+03	3.677743E-17	2.477086E-19
1.951394E+03	3.750421E-17	2.526023E-19
1.991219E+03	3.832185E-17	2.581080E-19
2.031043E+03	3.923821E-17	2.642784E-19
2.070867E+03	4.033945E-17	2.716940E-19
2.110692E+03	4.173602E-17	2.810986E-19
2.150516E+03	4.360076E-17	2.936564E-19
2.190341E+03	4.599033E-17	3.097487E-19
2.230165E+03	4.892414E-17	3.295065E-19
2.269989E+03	5.229255E-17	3.521910E-19
2.309814E+03	5.601308E-17	3.772468E-19
2.349638E+03	5.994931E-17	4.037552E-19
2.389462E+03	6.405176E-17	4.313827E-19
2.429287E+03	6.828329E-17	4.598794E-19
2.469111E+03	7.262961E-17	4.891488E-19
2.508936E+03	7.709295E-17	5.192062E-19
2.548760E+03	8.168758E-17	5.501474E-19
2.588584E+03	8.643761E-17	5.821350E-19
2.628409E+03	9.140033E-17	6.155546E-19
2.668233E+03	9.659131E-17	6.505114E-19
2.708057E+03	1.020828E-16	6.874917E-19
2.747882E+03	1.079291E-16	7.268609E-19
2.787706E+03	1.141902E-16	7.690234E-19
2.827531E+03	1.209323E-16	8.144248E-19
2.867355E+03	1.282568E-16	8.637482E-19
2.907179E+03	1.362434E-16	9.175300E-19
2.947004E+03	1.449755E-16	9.763320E-19
2.986828E+03	1.546037E-16	1.041169E-18
2.996784E+03	1.571779E-16	1.058503E-18
3.006740E+03	1.597986E-16	1.076151E-18
3.016696E+03	1.625004E-16	1.094344E-18
3.026652E+03	1.652513E-16	1.112869E-18
3.036609E+03	1.680541E-16	1.131743E-18
3.046565E+03	1.709798E-16	1.151445E-18
3.056521E+03	1.739640E-16	1.171540E-18
3.066477E+03	1.770066E-16	1.192029E-18
3.076433E+03	1.801426E-16	1.213147E-18
3.086389E+03	1.833729E-16	1.234900E-18
3.096345E+03	1.866981E-16	1.257291E-18
3.106301E+03	1.900821E-16	1.280079E-18
