#wls	flux	fluxerr
1.592975E+03	1.739285E-18	6.121600E-19
1.632799E+03	1.762579E-18	6.182294E-19
1.672624E+03	1.786193E-18	6.243035E-19
1.712448E+03	1.810100E-18	6.303695E-19
1.752272E+03	1.833478E-18	6.361371E-19
1.792097E+03	1.855906E-18	6.414598E-19
1.831921E+03	1.876782E-18	6.461316E-19
1.871746E+03	1.896090E-18	6.501494E-19
1.911570E+03	1.912989E-18	6.532303E-19
1.951394E+03	1.925307E-18	6.546431E-19
1.991219E+03	1.934501E-18	6.548984E-19
2.031043E+03	1.942112E-18	6.545276E-19
2.070867E+03	1.951438E-18	6.546422E-19
2.110692E+03	1.968902E-18	6.573767E-19
2.150516E+03	2.001891E-18	6.651432E-19
2.190341E+03	2.053227E-18	6.787947E-19
2.230165E+03	2.122477E-18	6.980903E-19
2.269989E+03	2.204456E-18	7.212338E-19
2.309814E+03	2.295024E-18	7.468009E-19
2.349638E+03	2.389759E-18	7.733032E-19
2.389462E+03	2.486665E-18	8.000631E-19
2.429287E+03	2.585924E-18	8.271140E-19
2.469111E+03	2.687706E-18	8.544829E-19
2.508936E+03	2.791667E-18	8.820321E-19
2.548760E+03	2.898538E-18	9.099634E-19
2.588584E+03	3.010155E-18	9.388162E-19
2.628409E+03	3.127501E-18	9.688500E-19
2.668233E+03	3.250570E-18	1.000009E-18
2.708057E+03	3.380390E-18	1.032552E-18
2.747882E+03	3.519197E-18	1.067094E-18
2.787706E+03	3.668321E-18	1.103953E-18
2.827531E+03	3.828054E-18	1.143122E-18
2.867355E+03	4.001178E-18	1.185328E-18
2.907179E+03	4.188303E-18	1.230627E-18
2.947004E+03	4.391435E-18	1.279472E-18
2.986828E+03	4.615637E-18	1.333174E-18
2.996784E+03	4.673835E-18	1.347006E-18
3.006740E+03	4.734787E-18	1.361541E-18
3.016696E+03	4.797162E-18	1.376392E-18
3.026652E+03	4.859573E-18	1.391158E-18
3.036609E+03	4.924992E-18	1.406686E-18
3.046565E+03	4.992089E-18	1.422591E-18
