#wls	flux	fluxerr
1.600000E+03	1.413458E-16	1.102183E-18
1.640000E+03	1.360959E-16	1.061239E-18
1.680000E+03	1.313002E-16	1.023837E-18
1.720000E+03	1.270449E-16	9.906495E-19
1.760000E+03	1.234288E-16	9.624465E-19
1.800000E+03	1.206245E-16	9.405740E-19
1.840000E+03	1.186934E-16	9.255107E-19
1.880000E+03	1.178633E-16	9.190325E-19
1.920000E+03	1.182209E-16	9.218148E-19
1.960000E+03	1.199770E-16	9.355027E-19
2.000000E+03	1.232755E-16	9.612165E-19
2.040000E+03	1.282653E-16	1.000118E-18
2.080000E+03	1.349801E-16	1.052469E-18
2.120000E+03	1.434676E-16	1.118641E-18
2.160000E+03	1.535627E-16	1.197348E-18
2.200000E+03	1.650378E-16	1.286814E-18
2.240000E+03	1.775923E-16	1.384695E-18
2.280000E+03	1.906903E-16	1.486812E-18
2.320000E+03	2.039580E-16	1.590252E-18
2.360000E+03	2.170632E-16	1.692424E-18
2.400000E+03	2.297078E-16	1.791003E-18
2.440000E+03	2.418910E-16	1.885984E-18
2.480000E+03	2.536610E-16	1.977743E-18
2.520000E+03	2.652941E-16	2.068433E-18
2.560000E+03	2.771077E-16	2.160530E-18
2.600000E+03	2.895161E-16	2.257263E-18
2.640000E+03	3.027541E-16	2.360464E-18
2.680000E+03	3.172661E-16	2.473597E-18
2.720000E+03	3.332612E-16	2.598292E-18
2.760000E+03	3.509626E-16	2.736289E-18
2.800000E+03	3.705437E-16	2.888940E-18
2.840000E+03	3.923939E-16	3.059280E-18
2.880000E+03	4.167939E-16	3.249499E-18
2.920000E+03	4.442106E-16	3.463235E-18
2.960000E+03	4.751922E-16	3.704763E-18
3.000000E+03	5.104442E-16	3.979582E-18
3.010000E+03	5.200300E-16	4.054311E-18
3.020000E+03	5.299020E-16	4.131272E-18
3.030000E+03	5.401328E-16	4.211029E-18
3.040000E+03	5.507342E-16	4.293676E-18
3.050000E+03	5.617189E-16	4.379311E-18
3.060000E+03	5.731002E-16	4.468038E-18
3.070000E+03	5.848287E-16	4.559471E-18
3.080000E+03	5.970454E-16	4.654711E-18
3.090000E+03	6.097029E-16	4.753386E-18
3.100000E+03	6.227524E-16	4.855118E-18
3.110000E+03	6.364050E-16	4.961551E-18
3.120000E+03	6.504839E-16	5.071309E-18
3.130000E+03	6.651383E-16	5.185552E-18
3.140000E+03	6.803217E-16	5.303919E-18
3.150000E+03	6.961203E-16	5.427082E-18
3.160000E+03	7.124881E-16	5.554683E-18
3.170000E+03	7.295129E-16	5.687405E-18
3.180000E+03	7.471479E-16	5.824884E-18
3.190000E+03	7.655511E-16	5.968352E-18
3.200000E+03	7.846061E-16	6.116901E-18
3.210000E+03	8.044018E-16	6.271226E-18
3.220000E+03	8.249577E-16	6.431476E-18
3.230000E+03	8.463631E-16	6.598348E-18
3.240000E+03	8.684911E-16	6.770854E-18
3.250000E+03	8.914986E-16	6.950215E-18
3.260000E+03	9.153235E-16	7.135949E-18
3.270000E+03	9.400459E-16	7.328680E-18
3.280000E+03	9.655934E-16	7.527843E-18
3.290000E+03	9.919611E-16	7.733400E-18
3.300000E+03	1.019215E-15	7.945866E-18
3.310000E+03	1.047338E-15	8.165109E-18
3.320000E+03	1.076309E-15	8.390955E-18
3.330000E+03	1.106094E-15	8.623155E-18
3.340000E+03	1.136655E-15	8.861401E-18
3.350000E+03	1.167941E-15	9.105295E-18
3.360000E+03	1.199895E-15	9.354399E-18
3.370000E+03	1.232446E-15	9.608162E-18
3.380000E+03	1.265517E-15	9.865976E-18
3.390000E+03	1.299186E-15	1.012845E-17
3.400000E+03	1.333099E-15	1.039282E-17
3.400592E+03	1.186634E-15	9.250980E-18
3.402333E+03	1.198498E-15	9.343471E-18
3.404073E+03	1.216546E-15	9.484170E-18
3.405814E+03	1.244118E-15	9.699125E-18
3.407555E+03	1.248446E-15	9.732863E-18
3.409296E+03	1.263900E-15	9.853343E-18
3.411037E+03	1.293727E-15	1.008587E-17
3.412778E+03	1.311163E-15	1.022180E-17
3.414518E+03	1.323693E-15	1.031948E-17
3.416259E+03	1.336609E-15	1.042017E-17
3.418000E+03	1.349877E-15	1.052361E-17
3.419741E+03	1.363399E-15	1.062902E-17
3.421482E+03	1.381278E-15	1.076841E-17
3.423222E+03	1.381488E-15	1.077004E-17
3.424963E+03	1.395306E-15	1.087776E-17
3.426704E+03	1.408418E-15	1.097998E-17
3.428445E+03	1.408438E-15	1.098013E-17
3.430186E+03	1.432322E-15	1.116633E-17
3.431926E+03	1.468786E-15	1.145060E-17
3.433667E+03	1.496567E-15	1.166718E-17
3.435408E+03	1.508370E-15	1.175919E-17
3.437149E+03	1.530932E-15	1.193508E-17
3.438890E+03	1.559651E-15	1.215897E-17
3.440631E+03	1.590603E-15	1.240027E-17
3.442371E+03	1.614967E-15	1.259021E-17
3.444112E+03	1.632162E-15	1.272426E-17
3.445853E+03	1.650408E-15	1.286651E-17
3.447594E+03	1.679427E-15	1.309273E-17
3.449335E+03	1.703099E-15	1.327727E-17
3.451075E+03	1.697744E-15	1.323553E-17
3.452816E+03	1.707324E-15	1.331021E-17
3.454557E+03	1.740976E-15	1.357256E-17
3.456298E+03	1.771156E-15	1.380783E-17
3.458039E+03	1.790555E-15	1.395906E-17
3.459779E+03	1.794850E-15	1.399254E-17
3.461520E+03	1.788685E-15	1.394448E-17
3.463261E+03	1.800958E-15	1.404016E-17
3.465002E+03	1.826531E-15	1.423952E-17
3.466743E+03	1.832836E-15	1.428868E-17
3.468483E+03	1.828675E-15	1.425624E-17
3.470224E+03	1.830998E-15	1.427434E-17
3.471965E+03	1.828001E-15	1.425097E-17
3.473706E+03	1.823177E-15	1.421336E-17
3.475447E+03	1.814693E-15	1.414722E-17
3.477188E+03	1.808038E-15	1.409534E-17
3.478928E+03	1.803546E-15	1.406032E-17
3.480669E+03	1.795725E-15	1.399934E-17
3.482410E+03	1.799388E-15	1.402790E-17
3.484151E+03	1.785574E-15	1.392020E-17
3.485892E+03	1.776918E-15	1.385272E-17
3.487632E+03	1.769760E-15	1.379691E-17
3.489373E+03	1.757770E-15	1.370344E-17
3.491114E+03	1.754107E-15	1.367488E-17
3.492855E+03	1.758945E-15	1.371259E-17
3.494596E+03	1.760285E-15	1.372304E-17
3.496336E+03	1.753125E-15	1.366721E-17
3.498077E+03	1.755302E-15	1.368418E-17
3.499818E+03	1.763819E-15	1.375058E-17
3.501559E+03	1.774010E-15	1.383003E-17
3.503300E+03	1.766855E-15	1.377424E-17
3.505041E+03	1.775385E-15	1.384074E-17
3.506781E+03	1.788259E-15	1.394110E-17
3.508522E+03	1.792293E-15	1.397255E-17
3.510263E+03	1.799169E-15	1.402615E-17
3.512004E+03	1.804881E-15	1.407068E-17
3.513744E+03	1.808425E-15	1.409830E-17
