#wls	flux	fluxerr
1.600000E+03	1.176859E-17	1.058021E-17
1.640000E+03	1.192775E-17	1.067067E-17
1.680000E+03	1.210361E-17	1.077437E-17
1.720000E+03	1.229719E-17	1.089204E-17
1.760000E+03	1.251302E-17	1.102747E-17
1.800000E+03	1.274849E-17	1.117804E-17
1.840000E+03	1.301163E-17	1.135047E-17
1.880000E+03	1.329250E-17	1.153567E-17
1.920000E+03	1.360262E-17	1.174322E-17
1.960000E+03	1.393543E-17	1.196688E-17
2.000000E+03	1.429878E-17	1.221278E-17
2.040000E+03	1.468581E-17	1.247434E-17
2.080000E+03	1.510055E-17	1.275417E-17
2.120000E+03	1.554327E-17	1.305157E-17
2.160000E+03	1.601414E-17	1.336563E-17
2.200000E+03	1.651718E-17	1.369845E-17
2.240000E+03	1.704863E-17	1.404552E-17
2.280000E+03	1.760849E-17	1.440529E-17
2.320000E+03	1.820084E-17	1.477934E-17
2.360000E+03	1.882175E-17	1.516249E-17
2.400000E+03	1.947968E-17	1.555930E-17
2.440000E+03	2.016669E-17	1.596090E-17
2.480000E+03	2.088743E-17	1.636821E-17
2.520000E+03	2.164701E-17	1.678206E-17
2.560000E+03	2.243767E-17	1.719293E-17
2.600000E+03	2.327403E-17	1.760817E-17
2.640000E+03	2.414891E-17	1.801790E-17
2.680000E+03	2.507365E-17	1.842575E-17
2.720000E+03	2.604168E-17	1.882147E-17
2.760000E+03	2.706573E-17	1.920836E-17
2.800000E+03	2.815000E-17	1.958271E-17
2.840000E+03	2.929957E-17	1.994062E-17
2.880000E+03	3.052563E-17	2.028148E-17
2.920000E+03	3.183064E-17	2.059779E-17
2.960000E+03	3.322879E-17	2.088877E-17
3.000000E+03	3.473662E-17	2.115361E-17
3.010000E+03	3.512770E-17	2.121249E-17
3.020000E+03	3.553519E-17	2.127453E-17
3.030000E+03	3.594305E-17	2.132986E-17
3.040000E+03	3.636244E-17	2.138496E-17
3.050000E+03	3.679369E-17	2.143975E-17
3.060000E+03	3.723157E-17	2.149093E-17
3.070000E+03	3.767635E-17	2.153846E-17
3.080000E+03	3.813394E-17	2.158550E-17
3.090000E+03	3.859909E-17	2.162880E-17
3.100000E+03	3.907779E-17	2.167150E-17
3.110000E+03	3.957049E-17	2.171351E-17
3.120000E+03	4.007186E-17	2.175165E-17
3.130000E+03	4.058227E-17	2.178588E-17
3.140000E+03	4.110795E-17	2.181931E-17
3.150000E+03	4.164354E-17	2.184878E-17
3.160000E+03	4.219539E-17	2.187736E-17
3.170000E+03	4.276405E-17	2.190500E-17
3.180000E+03	4.334412E-17	2.192862E-17
3.190000E+03	4.394215E-17	2.195125E-17
3.200000E+03	4.455269E-17	2.196985E-17
3.210000E+03	4.518242E-17	2.198744E-17
3.220000E+03	4.582587E-17	2.200104E-17
3.230000E+03	4.648987E-17	2.201363E-17
3.240000E+03	4.717519E-17	2.202523E-17
3.250000E+03	4.787633E-17	2.203293E-17
3.260000E+03	4.860035E-17	2.203972E-17
3.270000E+03	4.934172E-17	2.204276E-17
3.280000E+03	5.010767E-17	2.204501E-17
3.290000E+03	5.089917E-17	2.204656E-17
3.300000E+03	5.171065E-17	2.204469E-17
3.310000E+03	5.254964E-17	2.204237E-17
3.320000E+03	5.341723E-17	2.203974E-17
3.330000E+03	5.430783E-17	2.203424E-17
3.340000E+03	5.522927E-17	2.202884E-17
3.350000E+03	5.617591E-17	2.202108E-17
3.360000E+03	5.716284E-17	2.201667E-17
3.370000E+03	5.817753E-17	2.201054E-17
3.380000E+03	5.922836E-17	2.200574E-17
3.390000E+03	6.030962E-17	2.200008E-17
3.400000E+03	6.143725E-17	2.199928E-17
3.410000E+03	6.259841E-17	2.199863E-17
3.420000E+03	6.379459E-17	2.199877E-17
3.430000E+03	6.504245E-17	2.200550E-17
3.440000E+03	6.632889E-17	2.201442E-17
3.450000E+03	6.766338E-17	2.202887E-17
3.460000E+03	6.904800E-17	2.204971E-17
3.470000E+03	7.048495E-17	2.207786E-17
3.480000E+03	7.196850E-17	2.211184E-17
3.490000E+03	7.351702E-17	2.215768E-17
3.500000E+03	7.511684E-17	2.221156E-17
3.510000E+03	7.677859E-17	2.227713E-17
3.520000E+03	7.850498E-17	2.235561E-17
3.530000E+03	8.029020E-17	2.244583E-17
3.540000E+03	8.215422E-17	2.255387E-17
3.550000E+03	8.408261E-17	2.267615E-17
3.560000E+03	8.608694E-17	2.281627E-17
3.570000E+03	8.817013E-17	2.297532E-17
3.580000E+03	9.034438E-17	2.315664E-17
3.590000E+03	9.258438E-17	2.335382E-17
3.600000E+03	9.492039E-17	2.357445E-17
3.610000E+03	9.734474E-17	2.381612E-17
3.620000E+03	9.985850E-17	2.407835E-17
3.630000E+03	1.024622E-16	2.436031E-17
3.640000E+03	1.051458E-16	2.465838E-17
3.650000E+03	1.079295E-16	2.497589E-17
3.660000E+03	1.107917E-16	2.530614E-17
3.670000E+03	1.137527E-16	2.565188E-17
3.680000E+03	1.167894E-16	2.600579E-17
3.690000E+03	1.199219E-16	2.637012E-17
3.700000E+03	1.231256E-16	2.673697E-17
3.710000E+03	1.264204E-16	2.710818E-17
3.720000E+03	1.297800E-16	2.747539E-17
3.730000E+03	1.332242E-16	2.784014E-17
3.740000E+03	1.367247E-16	2.819372E-17
3.750000E+03	1.403013E-16	2.853752E-17
3.760000E+03	1.439236E-16	2.886264E-17
3.770000E+03	1.476112E-16	2.917046E-17
3.780000E+03	1.513450E-16	2.945468E-17
3.790000E+03	1.551045E-16	2.970912E-17
3.800000E+03	1.589087E-16	2.993548E-17
3.810000E+03	1.627360E-16	3.012794E-17
3.820000E+03	1.665776E-16	3.028354E-17
3.830000E+03	1.704241E-16	3.039969E-17
3.840000E+03	1.742652E-16	3.047420E-17
3.850000E+03	1.781053E-16	3.050789E-17
3.860000E+03	1.819038E-16	3.049458E-17
3.870000E+03	1.856637E-16	3.043628E-17
3.880000E+03	1.893882E-16	3.033562E-17
3.890000E+03	1.930499E-16	3.019099E-17
3.900000E+03	1.966207E-16	3.000171E-17
3.910000E+03	2.001186E-16	2.977506E-17
3.920000E+03	2.035153E-16	2.951190E-17
3.930000E+03	2.067982E-16	2.921631E-17
3.940000E+03	2.099706E-16	2.889526E-17
3.950000E+03	2.129888E-16	2.854967E-17
3.960000E+03	2.158735E-16	2.818971E-17
3.970000E+03	2.185824E-16	2.781720E-17
3.980000E+03	2.211389E-16	2.744239E-17
3.990000E+03	2.235194E-16	2.706909E-17
4.000000E+03	2.257183E-16	2.670275E-17
4.010000E+03	2.277317E-16	2.634815E-17
4.020000E+03	2.295743E-16	2.601113E-17
4.030000E+03	2.312138E-16	2.569103E-17
4.040000E+03	2.326851E-16	2.539363E-17
4.050000E+03	2.339764E-16	2.511827E-17
4.060000E+03	2.350782E-16	2.486359E-17
4.070000E+03	2.360313E-16	2.463261E-17
4.080000E+03	2.368467E-16	2.442416E-17
4.090000E+03	2.375056E-16	2.423338E-17
4.100000E+03	2.380403E-16	2.406001E-17
4.110000E+03	2.384848E-16	2.390344E-17
4.120000E+03	2.388291E-16	2.375818E-17
4.130000E+03	2.391280E-16	2.362495E-17
4.140000E+03	2.393916E-16	2.349980E-17
4.150000E+03	2.396475E-16	2.338043E-17
4.160000E+03	2.399241E-16	2.326465E-17
4.170000E+03	2.402505E-16	2.315042E-17
4.180000E+03	2.406705E-16	2.303734E-17
4.190000E+03	2.411822E-16	2.292090E-17
4.200000E+03	2.418272E-16	2.280113E-17
4.210000E+03	2.426450E-16	2.267819E-17
4.220000E+03	2.436288E-16	2.254837E-17
4.230000E+03	2.448279E-16	2.241363E-17
4.240000E+03	2.462448E-16	2.227214E-17
4.250000E+03	2.478793E-16	2.212243E-17
4.260000E+03	2.497712E-16	2.196726E-17
4.270000E+03	2.519135E-16	2.180593E-17
4.280000E+03	2.543101E-16	2.163962E-17
4.290000E+03	2.569464E-16	2.146903E-17
4.300000E+03	2.598475E-16	2.129935E-17
4.310000E+03	2.629910E-16	2.113321E-17
4.320000E+03	2.663503E-16	2.097461E-17
4.330000E+03	2.699388E-16	2.083238E-17
4.340000E+03	2.737076E-16	2.071226E-17
4.350000E+03	2.776636E-16	2.062583E-17
4.360000E+03	2.817524E-16	2.058119E-17
4.370000E+03	2.859636E-16	2.058996E-17
4.380000E+03	2.902748E-16	2.066152E-17
4.390000E+03	2.946708E-16	2.080249E-17
4.400000E+03	2.991474E-16	2.101509E-17
4.410000E+03	3.037128E-16	2.129692E-17
4.420000E+03	3.083682E-16	2.164081E-17
4.430000E+03	3.131508E-16	2.203955E-17
4.440000E+03	3.180843E-16	2.248391E-17
4.450000E+03	3.231920E-16	2.296463E-17
4.460000E+03	3.284952E-16	2.347296E-17
4.470000E+03	3.339957E-16	2.399981E-17
4.480000E+03	3.397224E-16	2.453920E-17
4.490000E+03	3.456822E-16	2.508484E-17
4.500000E+03	3.518583E-16	2.562981E-17
4.510000E+03	3.582576E-16	2.616998E-17
4.520000E+03	3.648445E-16	2.669905E-17
4.530000E+03	3.716231E-16	2.721460E-17
4.540000E+03	3.785022E-16	2.770813E-17
4.550000E+03	3.854831E-16	2.817886E-17
4.560000E+03	3.924721E-16	2.862018E-17
4.570000E+03	3.994031E-16	2.902859E-17
4.580000E+03	4.062239E-16	2.940284E-17
4.590000E+03	4.128646E-16	2.974157E-17
4.600000E+03	4.192399E-16	3.004353E-17
