#wls	flux	fluxerr
1.596806E+03	5.740032E-06	1.005731E-06
1.636727E+03	5.668686E-06	9.893226E-07
1.676647E+03	5.594162E-06	9.723759E-07
1.716567E+03	5.514128E-06	9.544977E-07
1.756487E+03	5.428500E-06	9.356885E-07
1.796407E+03	5.339190E-06	9.162932E-07
1.836327E+03	5.246002E-06	8.962905E-07
1.876248E+03	5.146893E-06	8.753464E-07
1.916168E+03	5.043697E-06	8.537903E-07
1.956088E+03	4.934546E-06	8.313224E-07
1.996008E+03	4.821239E-06	8.082644E-07
2.035928E+03	4.702103E-06	7.843535E-07
2.075848E+03	4.580501E-06	7.601685E-07
2.115768E+03	4.451748E-06	7.349490E-07
2.155689E+03	4.319256E-06	7.092804E-07
2.195609E+03	4.183205E-06	6.832090E-07
2.235529E+03	4.043836E-06	6.567906E-07
2.275449E+03	3.900169E-06	6.298833E-07
2.315369E+03	3.753970E-06	6.027896E-07
2.355289E+03	3.605662E-06	5.755916E-07
2.395210E+03	3.454629E-06	5.482048E-07
2.435130E+03	3.302627E-06	5.209208E-07
2.475050E+03	3.149261E-06	4.936877E-07
2.514970E+03	2.997174E-06	4.669280E-07
2.554890E+03	2.845127E-06	4.404524E-07
2.594810E+03	2.694783E-06	4.145227E-07
2.634731E+03	2.546841E-06	3.892462E-07
2.674651E+03	2.401298E-06	3.646204E-07
2.714571E+03	2.259652E-06	3.408686E-07
2.754491E+03	2.123180E-06	3.181742E-07
2.794411E+03	1.991255E-06	2.964321E-07
2.834331E+03	1.864609E-06	2.757393E-07
2.874251E+03	1.744871E-06	2.563215E-07
2.914172E+03	1.631523E-06	2.380842E-07
2.954092E+03	1.525927E-06	2.212067E-07
2.994012E+03	1.427595E-06	2.055966E-07
3.003992E+03	1.404384E-06	2.019237E-07
3.013972E+03	1.381285E-06	1.982792E-07
3.023952E+03	1.359043E-06	1.947698E-07
3.033932E+03	1.337291E-06	1.913422E-07
3.043912E+03	1.316035E-06	1.879970E-07
3.053892E+03	1.295279E-06	1.847345E-07
3.063872E+03	1.275028E-06	1.815551E-07
3.073852E+03	1.255287E-06	1.784590E-07
3.083832E+03	1.236062E-06	1.754466E-07
3.093812E+03	1.217671E-06	1.725628E-07
3.103792E+03	1.199485E-06	1.697178E-07
3.113772E+03	1.181828E-06	1.669574E-07
3.123752E+03	1.164704E-06	1.642818E-07
3.133733E+03	1.148410E-06	1.617325E-07
3.143713E+03	1.132362E-06	1.592265E-07
3.153693E+03	1.117144E-06	1.568460E-07
3.163673E+03	1.102469E-06	1.545499E-07
3.173653E+03	1.088067E-06	1.523003E-07
3.183633E+03	1.074498E-06	1.501750E-07
3.193613E+03	1.061487E-06	1.481353E-07
3.203593E+03	1.048780E-06	1.461454E-07
3.213573E+03	1.036909E-06	1.442791E-07
3.223553E+03	1.025616E-06	1.424999E-07
3.233533E+03	1.014907E-06	1.408084E-07
3.243513E+03	1.004790E-06	1.392054E-07
3.253493E+03	9.952726E-07	1.376915E-07
3.263473E+03	9.866054E-07	1.363010E-07
3.273453E+03	9.783120E-07	1.349676E-07
3.283433E+03	9.706465E-07	1.337262E-07
3.293413E+03	9.636190E-07	1.325777E-07
3.303393E+03	9.574734E-07	1.315554E-07
3.313373E+03	9.517569E-07	1.305966E-07
3.323353E+03	9.469448E-07	1.297663E-07
3.333333E+03	9.425953E-07	1.290034E-07
3.343313E+03	9.391777E-07	1.283720E-07
3.353293E+03	9.364828E-07	1.278430E-07
3.363273E+03	9.343097E-07	1.273886E-07
3.373253E+03	9.331228E-07	1.270720E-07
3.383234E+03	9.327237E-07	1.268656E-07
3.393214E+03	9.331369E-07	1.267725E-07
3.403194E+03	9.343901E-07	1.267961E-07
3.413174E+03	9.365138E-07	1.269402E-07
3.423154E+03	9.395403E-07	1.272088E-07
3.433134E+03	9.435052E-07	1.276064E-07
3.443114E+03	9.484473E-07	1.281380E-07
3.453094E+03	9.546276E-07	1.288385E-07
3.463074E+03	9.616542E-07	1.296547E-07
3.473054E+03	9.697956E-07	1.306224E-07
3.483034E+03	9.793292E-07	1.317787E-07
3.493014E+03	9.898691E-07	1.330714E-07
3.502994E+03	1.001928E-06	1.345690E-07
3.512974E+03	1.015125E-06	1.362202E-07
3.522954E+03	1.029992E-06	1.380960E-07
3.532934E+03	1.046385E-06	1.401769E-07
3.542914E+03	1.064394E-06	1.424746E-07
3.552894E+03	1.083875E-06	1.449696E-07
3.562874E+03	1.105411E-06	1.477395E-07
3.572854E+03	1.128873E-06	1.507671E-07
3.582834E+03	1.154375E-06	1.540672E-07
3.592814E+03	1.182036E-06	1.576556E-07
3.602794E+03	1.211975E-06	1.615480E-07
