#wls	flux	fluxerr
1.596806E+03	4.758789E-17	3.700178E-19
1.636727E+03	4.794165E-17	3.727685E-19
1.676647E+03	4.835669E-17	3.759957E-19
1.716567E+03	4.882104E-17	3.796061E-19
1.756487E+03	4.936867E-17	3.838642E-19
1.796407E+03	4.996849E-17	3.885281E-19
1.836327E+03	5.066649E-17	3.939554E-19
1.876248E+03	5.142846E-17	3.998800E-19
1.916168E+03	5.226710E-17	4.064008E-19
1.956088E+03	5.318087E-17	4.135058E-19
1.996008E+03	5.419255E-17	4.213721E-19
2.035928E+03	5.532706E-17	4.301934E-19
2.075848E+03	5.664030E-17	4.404044E-19
2.115768E+03	5.823878E-17	4.528333E-19
2.155689E+03	6.020459E-17	4.681184E-19
2.195609E+03	6.262292E-17	4.869220E-19
2.235529E+03	6.552533E-17	5.094896E-19
2.275449E+03	6.886788E-17	5.354794E-19
2.315369E+03	7.263862E-17	5.647986E-19
2.355289E+03	7.684501E-17	5.975053E-19
2.395210E+03	8.149742E-17	6.336799E-19
2.435130E+03	8.662305E-17	6.735340E-19
2.475050E+03	9.228247E-17	7.175386E-19
2.514970E+03	9.854475E-17	7.662306E-19
2.554890E+03	1.054841E-16	8.201872E-19
2.594810E+03	1.131762E-16	8.799969E-19
2.634731E+03	1.216694E-16	9.460350E-19
2.674651E+03	1.310857E-16	1.019251E-18
2.714571E+03	1.414302E-16	1.099684E-18
2.754491E+03	1.528328E-16	1.188345E-18
2.794411E+03	1.652874E-16	1.285186E-18
2.834331E+03	1.788145E-16	1.390364E-18
2.874251E+03	1.933943E-16	1.503729E-18
2.914172E+03	2.089581E-16	1.624745E-18
2.954092E+03	2.254162E-16	1.752714E-18
2.994012E+03	2.426258E-16	1.886527E-18
3.003992E+03	2.470049E-16	1.920576E-18
3.013972E+03	2.514119E-16	1.954843E-18
3.023952E+03	2.558421E-16	1.989289E-18
3.033932E+03	2.603281E-16	2.024170E-18
3.043912E+03	2.648263E-16	2.059146E-18
3.053892E+03	2.693375E-16	2.094222E-18
3.063872E+03	2.738564E-16	2.129359E-18
3.073852E+03	2.783783E-16	2.164518E-18
3.083832E+03	2.829357E-16	2.199954E-18
3.093812E+03	2.875251E-16	2.235639E-18
3.103792E+03	2.921056E-16	2.271255E-18
3.113772E+03	2.967120E-16	2.307071E-18
3.123752E+03	3.013047E-16	2.342782E-18
3.133733E+03	3.059204E-16	2.378671E-18
3.143713E+03	3.105590E-16	2.414738E-18
3.153693E+03	3.152217E-16	2.450993E-18
3.163673E+03	3.198736E-16	2.487163E-18
3.173653E+03	3.245934E-16	2.523862E-18
3.183633E+03	3.293120E-16	2.560551E-18
3.193613E+03	3.341116E-16	2.597870E-18
3.203593E+03	3.389638E-16	2.635598E-18
3.213573E+03	3.439171E-16	2.674112E-18
3.223553E+03	3.489104E-16	2.712938E-18
3.233533E+03	3.540338E-16	2.752774E-18
3.243513E+03	3.593048E-16	2.793759E-18
3.253493E+03	3.647067E-16	2.835761E-18
3.263473E+03	3.702989E-16	2.879243E-18
3.273453E+03	3.761063E-16	2.924398E-18
3.283433E+03	3.821188E-16	2.971148E-18
3.293413E+03	3.884028E-16	3.020009E-18
3.303393E+03	3.950260E-16	3.071507E-18
3.313373E+03	4.019471E-16	3.125322E-18
3.323353E+03	4.092741E-16	3.182293E-18
3.333333E+03	4.170046E-16	3.242401E-18
3.343313E+03	4.251735E-16	3.305918E-18
3.353293E+03	4.338526E-16	3.373402E-18
3.363273E+03	4.430385E-16	3.444827E-18
3.373253E+03	4.528008E-16	3.520733E-18
3.383234E+03	4.631321E-16	3.601063E-18
3.393214E+03	4.741351E-16	3.686617E-18
3.403194E+03	4.857595E-16	3.777001E-18
3.413174E+03	4.980654E-16	3.872686E-18
3.423154E+03	5.111123E-16	3.974131E-18
3.433134E+03	5.248395E-16	4.080866E-18
3.443114E+03	5.393348E-16	4.193574E-18
3.453094E+03	5.545567E-16	4.311931E-18
3.463074E+03	5.705234E-16	4.436079E-18
3.473054E+03	5.871443E-16	4.565315E-18
3.483034E+03	6.043728E-16	4.699274E-18
3.492542E+03	4.498234E-16	3.497582E-18
3.494279E+03	4.612641E-16	3.586539E-18
3.496017E+03	4.713551E-16	3.665001E-18
3.497755E+03	4.810912E-16	3.740703E-18
3.499493E+03	4.936572E-16	3.838409E-18
3.501231E+03	5.086609E-16	3.955071E-18
3.502969E+03	5.210870E-16	4.051689E-18
3.504707E+03	5.309330E-16	4.128246E-18
3.506444E+03	5.406667E-16	4.203930E-18
3.508183E+03	5.549958E-16	4.315345E-18
3.509920E+03	5.620232E-16	4.369987E-18
3.511659E+03	5.690413E-16	4.424555E-18
3.513396E+03	5.761192E-16	4.479589E-18
3.515134E+03	5.839998E-16	4.540865E-18
3.516872E+03	5.867053E-16	4.561901E-18
3.518610E+03	5.886442E-16	4.576977E-18
3.520347E+03	5.928010E-16	4.609298E-18
3.522086E+03	5.968305E-16	4.640629E-18
3.523823E+03	5.998145E-16	4.663831E-18
3.525562E+03	5.942453E-16	4.620528E-18
