#wls	flux	fluxerr
1.596806E+03	1.178316E-17	2.844954E-18
1.636727E+03	1.172019E-17	2.810174E-18
1.676647E+03	1.163921E-17	2.770903E-18
1.716567E+03	1.154754E-17	2.728970E-18
1.756487E+03	1.143641E-17	2.682376E-18
1.796407E+03	1.130822E-17	2.631800E-18
1.836327E+03	1.115752E-17	2.576083E-18
1.876248E+03	1.098976E-17	2.516618E-18
1.916168E+03	1.079935E-17	2.452246E-18
1.956088E+03	1.058174E-17	2.382097E-18
1.996008E+03	1.034435E-17	2.308010E-18
2.035928E+03	1.008470E-17	2.229583E-18
2.075848E+03	9.818103E-18	2.150337E-18
2.115768E+03	9.551188E-18	2.071783E-18
2.155689E+03	9.301039E-18	1.997625E-18
2.195609E+03	9.065141E-18	1.927252E-18
2.235529E+03	8.842400E-18	1.860371E-18
2.275449E+03	8.618843E-18	1.794015E-18
2.315369E+03	8.384622E-18	1.726193E-18
2.355289E+03	8.136331E-18	1.656314E-18
2.395210E+03	7.867561E-18	1.583220E-18
2.435130E+03	7.583506E-18	1.508120E-18
2.475050E+03	7.285980E-18	1.431517E-18
2.514970E+03	6.973719E-18	1.353298E-18
2.554890E+03	6.655172E-18	1.275227E-18
2.594810E+03	6.327826E-18	1.196910E-18
2.634731E+03	5.997965E-18	1.119622E-18
2.674651E+03	5.668148E-18	1.043887E-18
2.714571E+03	5.339558E-18	9.699538E-19
2.754491E+03	5.016081E-18	8.985381E-19
2.794411E+03	4.699985E-18	8.300296E-19
2.834331E+03	4.392390E-18	7.645914E-19
2.874251E+03	4.096470E-18	7.027242E-19
2.914172E+03	3.814025E-18	6.446606E-19
2.954092E+03	3.545879E-18	5.904491E-19
2.994012E+03	3.295081E-18	5.404917E-19
3.003992E+03	3.235060E-18	5.286474E-19
3.013972E+03	3.176079E-18	5.170522E-19
3.023952E+03	3.118161E-18	5.057078E-19
3.033932E+03	3.061995E-18	4.947236E-19
3.043912E+03	3.006248E-18	4.838820E-19
3.053892E+03	2.952300E-18	4.734035E-19
3.063872E+03	2.898890E-18	4.630834E-19
3.073852E+03	2.847270E-18	4.531198E-19
3.083832E+03	2.796822E-18	4.434114E-19
3.093812E+03	2.747555E-18	4.339578E-19
3.103792E+03	2.699482E-18	4.247586E-19
3.113772E+03	2.653162E-18	4.158994E-19
3.123752E+03	2.607495E-18	4.072050E-19
3.133733E+03	2.563580E-18	3.988456E-19
3.143713E+03	2.520365E-18	3.906546E-19
3.153693E+03	2.478903E-18	3.827934E-19
3.163673E+03	2.438680E-18	3.751799E-19
3.173653E+03	2.399709E-18	3.678138E-19
3.183633E+03	2.362477E-18	3.607673E-19
3.193613E+03	2.326037E-18	3.538932E-19
3.203593E+03	2.291345E-18	3.473350E-19
3.213573E+03	2.257492E-18	3.409523E-19
3.223553E+03	2.225396E-18	3.348821E-19
3.233533E+03	2.194618E-18	3.290551E-19
3.243513E+03	2.165172E-18	3.234715E-19
3.253493E+03	2.137076E-18	3.181318E-19
3.263473E+03	2.110758E-18	3.130971E-19
3.273453E+03	2.085409E-18	3.082450E-19
3.283433E+03	2.061865E-18	3.036969E-19
3.293413E+03	2.039737E-18	2.993932E-19
3.303393E+03	2.018663E-18	2.952786E-19
3.313373E+03	1.999448E-18	2.914686E-19
3.323353E+03	1.982101E-18	2.879621E-19
3.333333E+03	1.965898E-18	2.846514E-19
3.343313E+03	1.951252E-18	2.815945E-19
3.353293E+03	1.938561E-18	2.788464E-19
3.363273E+03	1.927493E-18	2.763571E-19
3.373253E+03	1.918092E-18	2.741305E-19
3.383234E+03	1.910405E-18	2.721713E-19
3.393214E+03	1.904482E-18	2.704844E-19
3.403194E+03	1.900380E-18	2.690759E-19
3.413174E+03	1.898504E-18	2.680008E-19
3.423154E+03	1.898229E-18	2.671688E-19
3.433134E+03	1.900316E-18	2.666848E-19
3.443114E+03	1.904499E-18	2.665095E-19
3.453094E+03	1.910865E-18	2.666528E-19
3.463074E+03	1.919510E-18	2.671260E-19
3.473054E+03	1.930876E-18	2.679888E-19
3.483034E+03	1.944393E-18	2.691598E-19
3.493014E+03	1.960865E-18	2.707486E-19
3.502994E+03	1.980085E-18	2.727242E-19
3.512974E+03	2.002191E-18	2.751042E-19
3.522954E+03	2.027339E-18	2.779078E-19
3.532934E+03	2.055690E-18	2.811557E-19
3.542914E+03	2.087420E-18	2.848701E-19
3.552894E+03	2.123077E-18	2.891241E-19
3.562874E+03	2.162504E-18	2.938949E-19
3.572854E+03	2.205539E-18	2.991589E-19
3.582834E+03	2.253144E-18	3.050455E-19
3.592814E+03	2.305570E-18	3.115875E-19
