#wls	flux	fluxerr
1.600000E+03	5.914382E-18	6.006926E-19
1.640000E+03	5.880654E-18	5.971926E-19
1.680000E+03	5.841579E-18	5.931486E-19
1.720000E+03	5.796958E-18	5.885406E-19
1.760000E+03	5.748999E-18	5.835930E-19
1.800000E+03	5.695055E-18	5.780373E-19
1.840000E+03	5.634971E-18	5.718580E-19
1.880000E+03	5.570897E-18	5.652735E-19
1.920000E+03	5.500366E-18	5.580338E-19
1.960000E+03	5.423308E-18	5.501323E-19
2.000000E+03	5.341834E-18	5.417831E-19
2.040000E+03	5.251637E-18	5.325500E-19
2.080000E+03	5.159033E-18	5.230737E-19
2.120000E+03	5.057885E-18	5.127325E-19
2.160000E+03	4.952374E-18	5.019504E-19
2.200000E+03	4.840702E-18	4.905457E-19
2.240000E+03	4.723169E-18	4.785493E-19
2.280000E+03	4.601887E-18	4.661755E-19
2.320000E+03	4.475427E-18	4.532798E-19
2.360000E+03	4.345913E-18	4.400779E-19
2.400000E+03	4.212174E-18	4.264514E-19
2.440000E+03	4.074846E-18	4.124652E-19
2.480000E+03	3.934631E-18	3.981907E-19
2.520000E+03	3.793652E-18	3.838430E-19
2.560000E+03	3.652527E-18	3.694850E-19
2.600000E+03	3.509435E-18	3.549324E-19
2.640000E+03	3.367805E-18	3.405326E-19
2.680000E+03	3.228367E-18	3.263593E-19
2.720000E+03	3.089729E-18	3.122718E-19
2.760000E+03	2.955011E-18	2.985856E-19
2.800000E+03	2.824967E-18	2.853767E-19
2.840000E+03	2.699438E-18	2.726288E-19
2.880000E+03	2.579317E-18	2.604321E-19
2.920000E+03	2.465467E-18	2.488732E-19
2.960000E+03	2.359502E-18	2.381150E-19
3.000000E+03	2.262128E-18	2.282279E-19
3.010000E+03	2.239095E-18	2.258890E-19
3.020000E+03	2.215896E-18	2.235337E-19
3.030000E+03	2.193988E-18	2.213087E-19
3.040000E+03	2.172655E-18	2.191420E-19
3.050000E+03	2.151913E-18	2.170352E-19
3.060000E+03	2.131772E-18	2.149892E-19
3.070000E+03	2.112250E-18	2.130058E-19
3.080000E+03	2.093356E-18	2.110860E-19
3.090000E+03	2.075107E-18	2.092313E-19
3.100000E+03	2.057514E-18	2.074431E-19
3.110000E+03	2.041242E-18	2.057882E-19
3.120000E+03	2.025003E-18	2.041367E-19
3.130000E+03	2.009465E-18	2.025562E-19
3.140000E+03	1.994646E-18	2.010482E-19
3.150000E+03	1.980559E-18	1.996142E-19
3.160000E+03	1.967223E-18	1.982561E-19
3.170000E+03	1.955267E-18	1.970371E-19
3.180000E+03	1.943477E-18	1.958349E-19
3.190000E+03	1.932491E-18	1.947140E-19
3.200000E+03	1.922927E-18	1.937363E-19
3.210000E+03	1.913603E-18	1.927830E-19
3.220000E+03	1.905145E-18	1.919169E-19
3.230000E+03	1.898158E-18	1.911991E-19
3.240000E+03	1.891492E-18	1.905138E-19
3.250000E+03	1.885763E-18	1.899227E-19
3.260000E+03	1.881569E-18	1.894864E-19
3.270000E+03	1.877786E-18	1.890914E-19
3.280000E+03	1.875592E-18	1.888565E-19
3.290000E+03	1.873873E-18	1.886692E-19
3.300000E+03	1.873805E-18	1.886482E-19
3.310000E+03	1.874282E-18	1.886821E-19
3.320000E+03	1.876481E-18	1.888892E-19
3.330000E+03	1.879871E-18	1.892162E-19
3.340000E+03	1.883930E-18	1.896103E-19
3.350000E+03	1.889836E-18	1.901902E-19
3.360000E+03	1.897071E-18	1.909038E-19
3.370000E+03	1.905117E-18	1.916987E-19
3.380000E+03	1.915168E-18	1.926952E-19
3.390000E+03	1.926713E-18	1.938419E-19
3.400000E+03	1.939240E-18	1.950871E-19
3.410000E+03	1.953965E-18	1.965531E-19
3.420000E+03	1.970386E-18	1.981895E-19
3.430000E+03	1.988579E-18	2.000038E-19
3.440000E+03	2.008629E-18	2.020044E-19
3.450000E+03	2.030022E-18	2.041398E-19
3.460000E+03	2.054042E-18	2.065389E-19
3.470000E+03	2.080194E-18	2.091520E-19
3.480000E+03	2.108585E-18	2.119897E-19
3.490000E+03	2.139328E-18	2.150634E-19
3.500000E+03	2.172544E-18	2.183851E-19
3.510000E+03	2.208360E-18	2.219675E-19
3.520000E+03	2.246912E-18	2.258243E-19
3.530000E+03	2.288345E-18	2.299699E-19
3.540000E+03	2.332815E-18	2.344200E-19
3.550000E+03	2.380485E-18	2.391908E-19
3.560000E+03	2.431531E-18	2.443001E-19
3.570000E+03	2.486136E-18	2.497660E-19
3.580000E+03	2.544499E-18	2.556084E-19
3.590000E+03	2.606830E-18	2.618483E-19
3.600000E+03	2.673349E-18	2.685079E-19
3.610000E+03	2.745070E-18	2.756887E-19
3.620000E+03	2.820710E-18	2.832619E-19
3.630000E+03	2.901292E-18	2.913299E-19
3.640000E+03	2.987099E-18	2.999213E-19
3.650000E+03	3.078430E-18	3.090656E-19
3.660000E+03	3.176491E-18	3.188841E-19
3.670000E+03	3.279871E-18	3.292347E-19
3.680000E+03	3.389789E-18	3.402397E-19
3.690000E+03	3.506625E-18	3.519371E-19
3.700000E+03	3.631788E-18	3.644681E-19
3.710000E+03	3.763728E-18	3.776771E-19
3.720000E+03	3.903873E-18	3.917069E-19
3.730000E+03	4.053816E-18	4.067175E-19
3.740000E+03	4.211881E-18	4.225401E-19
3.750000E+03	4.379685E-18	4.393369E-19
3.760000E+03	4.559043E-18	4.572896E-19
3.770000E+03	4.748122E-18	4.762142E-19
3.780000E+03	4.950109E-18	4.964300E-19
3.790000E+03	5.163047E-18	5.177404E-19
3.800000E+03	5.390410E-18	5.404933E-19
3.810000E+03	5.630099E-18	5.644781E-19
3.820000E+03	5.885904E-18	5.900744E-19
3.830000E+03	6.155572E-18	6.170557E-19
3.840000E+03	6.443244E-18	6.458370E-19
3.850000E+03	6.746484E-18	6.761734E-19
3.860000E+03	7.069827E-18	7.085191E-19
3.870000E+03	7.410629E-18	7.426087E-19
3.880000E+03	7.773858E-18	7.789394E-19
3.890000E+03	8.156631E-18	8.172218E-19
3.900000E+03	8.564397E-18	8.580011E-19
3.910000E+03	8.996370E-18	9.011983E-19
3.920000E+03	9.451404E-18	9.466975E-19
3.930000E+03	9.935754E-18	9.951249E-19
3.940000E+03	1.044577E-17	1.046114E-18
3.950000E+03	1.098831E-17	1.100351E-18
3.960000E+03	1.156235E-17	1.157732E-18
3.970000E+03	1.216635E-17	1.218103E-18
3.980000E+03	1.280819E-17	1.282251E-18
3.990000E+03	1.348660E-17	1.350048E-18
4.000000E+03	1.420338E-17	1.421675E-18
4.010000E+03	1.495653E-17	1.496928E-18
4.020000E+03	1.575548E-17	1.576750E-18
4.030000E+03	1.659845E-17	1.660964E-18
4.040000E+03	1.748295E-17	1.749319E-18
4.050000E+03	1.841971E-17	1.842886E-18
4.060000E+03	1.940646E-17	1.941437E-18
4.070000E+03	2.044521E-17	2.045173E-18
4.080000E+03	2.153250E-17	2.153745E-18
4.090000E+03	2.268097E-17	2.268415E-18
4.100000E+03	2.388736E-17	2.388858E-18
4.110000E+03	2.515354E-17	2.515259E-18
4.120000E+03	2.648135E-17	2.647799E-18
4.130000E+03	2.786552E-17	2.785950E-18
4.140000E+03	2.932127E-17	2.931232E-18
4.150000E+03	3.084341E-17	3.083125E-18
4.160000E+03	3.243322E-17	3.241754E-18
4.170000E+03	3.409177E-17	3.407225E-18
4.180000E+03	3.581102E-17	3.578732E-18
4.190000E+03	3.760890E-17	3.758067E-18
4.200000E+03	3.947722E-17	3.944406E-18
4.210000E+03	4.141586E-17	4.137739E-18
4.220000E+03	4.342441E-17	4.338021E-18
4.230000E+03	4.550195E-17	4.545159E-18
4.240000E+03	4.764718E-17	4.759021E-18
4.250000E+03	4.984604E-17	4.978202E-18
4.260000E+03	5.212009E-17	5.204852E-18
4.270000E+03	5.445471E-17	5.437511E-18
4.280000E+03	5.684638E-17	5.675825E-18
4.290000E+03	5.929103E-17	5.919387E-18
4.300000E+03	6.178396E-17	6.167725E-18
4.310000E+03	6.431985E-17	6.420308E-18
4.320000E+03	6.687667E-17	6.674936E-18
4.330000E+03	6.947963E-17	6.934126E-18
4.340000E+03	7.210629E-17	7.195634E-18
4.350000E+03	7.474928E-17	7.458727E-18
4.360000E+03	7.740093E-17	7.722639E-18
4.370000E+03	8.005338E-17	7.986585E-18
4.380000E+03	8.269874E-17	8.249779E-18
4.390000E+03	8.530898E-17	8.509425E-18
4.400000E+03	8.791706E-17	8.768812E-18
4.410000E+03	9.049729E-17	9.025377E-18
4.420000E+03	9.304418E-17	9.278574E-18
4.430000E+03	9.555287E-17	9.527920E-18
4.440000E+03	9.801904E-17	9.772986E-18
4.450000E+03	1.004155E-16	1.001106E-17
4.460000E+03	1.027856E-16	1.024647E-17
4.470000E+03	1.051038E-16	1.047666E-17
4.480000E+03	1.073679E-16	1.070143E-17
4.490000E+03	1.095763E-16	1.092061E-17
4.500000E+03	1.117277E-16	1.113408E-17
4.510000E+03	1.137950E-16	1.133913E-17
4.520000E+03	1.158301E-16	1.154093E-17
