#wls	flux	fluxerr
1.600000E+03	2.312904E-16	1.888185E-16
1.640000E+03	2.319736E-16	1.890806E-16
1.680000E+03	2.328173E-16	1.894307E-16
1.720000E+03	2.338564E-16	1.898906E-16
1.760000E+03	2.351498E-16	1.905007E-16
1.800000E+03	2.367379E-16	1.912845E-16
1.840000E+03	2.386864E-16	1.922846E-16
1.880000E+03	2.410656E-16	1.935450E-16
1.920000E+03	2.439747E-16	1.951298E-16
1.960000E+03	2.474734E-16	1.970684E-16
2.000000E+03	2.516514E-16	1.994099E-16
2.040000E+03	2.566070E-16	2.022052E-16
2.080000E+03	2.624981E-16	2.055463E-16
2.120000E+03	2.693967E-16	2.094490E-16
2.160000E+03	2.775139E-16	2.140290E-16
2.200000E+03	2.869499E-16	2.193034E-16
2.240000E+03	2.979272E-16	2.253694E-16
2.280000E+03	3.106656E-16	2.323031E-16
2.320000E+03	3.253821E-16	2.401563E-16
2.360000E+03	3.422888E-16	2.489510E-16
2.400000E+03	3.616835E-16	2.587400E-16
2.440000E+03	3.838330E-16	2.695149E-16
2.480000E+03	4.090296E-16	2.812403E-16
2.520000E+03	4.376236E-16	2.938676E-16
2.560000E+03	4.699905E-16	3.073013E-16
2.600000E+03	5.065614E-16	3.214074E-16
2.640000E+03	5.477027E-16	3.359250E-16
2.680000E+03	5.939239E-16	3.505875E-16
2.720000E+03	6.455872E-16	3.649334E-16
2.760000E+03	7.031908E-16	3.784709E-16
2.800000E+03	7.669434E-16	3.904396E-16
2.840000E+03	8.370246E-16	3.999813E-16
2.880000E+03	9.132653E-16	4.060159E-16
2.920000E+03	9.951008E-16	4.073076E-16
2.960000E+03	1.081363E-15	4.025031E-16
3.000000E+03	1.170110E-15	3.902552E-16
3.010000E+03	1.192384E-15	3.858923E-16
3.020000E+03	1.214602E-15	3.809809E-16
3.030000E+03	1.236646E-15	3.754905E-16
3.040000E+03	1.258558E-15	3.694433E-16
3.050000E+03	1.280159E-15	3.627990E-16
3.060000E+03	1.301432E-15	3.555698E-16
3.070000E+03	1.322302E-15	3.477553E-16
3.080000E+03	1.342746E-15	3.393738E-16
3.090000E+03	1.362632E-15	3.304194E-16
3.100000E+03	1.381825E-15	3.208943E-16
3.110000E+03	1.400413E-15	3.108572E-16
3.120000E+03	1.418154E-15	3.002968E-16
3.130000E+03	1.435082E-15	2.892708E-16
3.140000E+03	1.451016E-15	2.777981E-16
3.150000E+03	1.465998E-15	2.659493E-16
3.160000E+03	1.479965E-15	2.537806E-16
3.170000E+03	1.492755E-15	2.413401E-16
3.180000E+03	1.504426E-15	2.287229E-16
3.190000E+03	1.514834E-15	2.159998E-16
3.200000E+03	1.524052E-15	2.032855E-16
3.210000E+03	1.532010E-15	1.906825E-16
3.220000E+03	1.538699E-15	1.783133E-16
3.230000E+03	1.544127E-15	1.663106E-16
3.240000E+03	1.548318E-15	1.548139E-16
3.250000E+03	1.551319E-15	1.439625E-16
3.260000E+03	1.553211E-15	1.338863E-16
3.270000E+03	1.554125E-15	1.246976E-16
3.280000E+03	1.554213E-15	1.164742E-16
3.290000E+03	1.553814E-15	1.092592E-16
3.300000E+03	1.553290E-15	1.030474E-16
3.310000E+03	1.553012E-15	9.778723E-17
3.320000E+03	1.553480E-15	9.339413E-17
3.330000E+03	1.555103E-15	8.975255E-17
3.340000E+03	1.558336E-15	8.674018E-17
3.350000E+03	1.563475E-15	8.422701E-17
3.360000E+03	1.570789E-15	8.209703E-17
3.370000E+03	1.580479E-15	8.025523E-17
3.380000E+03	1.592727E-15	7.863236E-17
3.390000E+03	1.607591E-15	7.718205E-17
3.400000E+03	1.625158E-15	7.588660E-17
3.410000E+03	1.645474E-15	7.474740E-17
3.420000E+03	1.668743E-15	7.378659E-17
3.430000E+03	1.695108E-15	7.302319E-17
3.440000E+03	1.724798E-15	7.246536E-17
3.450000E+03	1.758208E-15	7.211223E-17
3.460000E+03	1.795593E-15	7.193687E-17
3.470000E+03	1.837131E-15	7.188285E-17
3.480000E+03	1.882923E-15	7.187014E-17
3.490000E+03	1.932773E-15	7.178764E-17
3.500000E+03	1.986148E-15	7.148731E-17
3.510000E+03	2.042236E-15	7.079308E-17
3.520000E+03	2.099864E-15	6.950088E-17
3.530000E+03	2.157820E-15	6.739634E-17
3.540000E+03	2.214690E-15	6.428856E-17
3.550000E+03	2.268904E-15	6.007555E-17
3.560000E+03	2.318797E-15	5.484692E-17
3.570000E+03	2.362720E-15	4.907917E-17
3.580000E+03	2.399287E-15	4.392506E-17
3.590000E+03	2.427908E-15	4.137126E-17
3.600000E+03	2.449132E-15	4.322155E-17
3.610000E+03	2.463303E-15	4.850418E-17
3.620000E+03	2.471428E-15	5.511382E-17
3.630000E+03	2.475290E-15	6.161436E-17
3.640000E+03	2.476958E-15	6.730952E-17
3.650000E+03	2.478135E-15	7.196121E-17
3.660000E+03	2.480017E-15	7.559026E-17
3.670000E+03	2.483433E-15	7.835542E-17
3.680000E+03	2.488675E-15	8.046415E-17
3.690000E+03	2.495896E-15	8.213642E-17
3.700000E+03	2.505084E-15	8.354532E-17
3.710000E+03	2.516314E-15	8.477635E-17
3.720000E+03	2.529669E-15	8.583849E-17
3.730000E+03	2.545143E-15	8.668139E-17
3.740000E+03	2.562546E-15	8.720277E-17
3.750000E+03	2.581545E-15	8.729626E-17
3.760000E+03	2.601602E-15	8.689925E-17
3.770000E+03	2.621986E-15	8.601640E-17
3.780000E+03	2.641801E-15	8.472330E-17
3.790000E+03	2.660203E-15	8.314697E-17
3.800000E+03	2.676467E-15	8.143275E-17
3.810000E+03	2.689961E-15	7.972619E-17
3.820000E+03	2.700233E-15	7.814094E-17
3.830000E+03	2.707042E-15	7.673271E-17
3.840000E+03	2.710205E-15	7.553306E-17
3.850000E+03	2.709841E-15	7.459750E-17
3.860000E+03	2.706274E-15	7.401070E-17
3.870000E+03	2.700084E-15	7.388207E-17
3.880000E+03	2.692435E-15	7.430223E-17
3.890000E+03	2.684897E-15	7.528087E-17
3.900000E+03	2.679309E-15	7.674954E-17
3.910000E+03	2.677240E-15	7.855687E-17
3.920000E+03	2.679836E-15	8.046791E-17
3.930000E+03	2.687673E-15	8.221116E-17
3.940000E+03	2.700642E-15	8.353412E-17
3.950000E+03	2.718161E-15	8.424106E-17
3.960000E+03	2.739030E-15	8.421103E-17
3.970000E+03	2.761724E-15	8.341864E-17
3.980000E+03	2.784446E-15	8.193114E-17
3.990000E+03	2.805544E-15	7.989889E-17
4.000000E+03	2.823346E-15	7.749947E-17
4.010000E+03	2.836653E-15	7.490740E-17
4.020000E+03	2.844753E-15	7.229407E-17
4.030000E+03	2.847191E-15	6.981807E-17
4.040000E+03	2.844098E-15	6.762606E-17
4.050000E+03	2.835873E-15	6.585701E-17
4.060000E+03	2.823197E-15	6.460880E-17
4.070000E+03	2.806984E-15	6.390521E-17
4.080000E+03	2.788079E-15	6.373999E-17
4.090000E+03	2.767157E-15	6.407871E-17
4.100000E+03	2.744588E-15	6.481923E-17
4.110000E+03	2.720524E-15	6.583910E-17
4.120000E+03	2.695050E-15	6.702161E-17
4.130000E+03	2.668391E-15	6.823311E-17
4.140000E+03	2.640783E-15	6.933831E-17
4.150000E+03	2.612468E-15	7.022022E-17
