#wls	flux	fluxerr
1.592167E+03	4.489290E-04	3.634918E-08
1.631971E+03	4.747331E-04	3.843849E-08
1.671775E+03	5.001937E-04	4.050000E-08
1.711579E+03	5.248606E-04	4.249725E-08
1.751383E+03	5.479835E-04	4.436947E-08
1.791187E+03	5.689118E-04	4.606401E-08
1.830992E+03	5.871740E-04	4.754267E-08
1.870796E+03	6.025321E-04	4.878620E-08
1.910600E+03	6.154208E-04	4.982978E-08
1.950404E+03	6.272827E-04	5.079022E-08
1.990208E+03	6.407893E-04	5.188383E-08
2.030012E+03	6.593963E-04	5.339041E-08
2.069817E+03	6.825854E-04	5.526800E-08
2.109621E+03	7.063764E-04	5.719432E-08
2.149425E+03	7.382177E-04	5.977246E-08
2.189229E+03	7.807136E-04	6.321329E-08
2.229033E+03	8.235422E-04	6.668107E-08
2.268837E+03	8.422618E-04	6.819676E-08
2.308641E+03	8.388612E-04	6.792141E-08
2.348446E+03	8.326802E-04	6.742095E-08
2.388250E+03	8.299728E-04	6.720172E-08
2.428054E+03	8.314782E-04	6.732361E-08
2.467858E+03	8.373366E-04	6.779796E-08
2.507662E+03	8.486861E-04	6.871690E-08
2.547466E+03	8.683225E-04	7.030683E-08
2.587271E+03	8.971467E-04	7.264068E-08
2.627075E+03	9.279110E-04	7.513162E-08
2.666879E+03	9.619500E-04	7.788769E-08
2.706683E+03	1.004177E-03	8.130676E-08
2.746487E+03	1.051345E-03	8.512590E-08
2.786291E+03	1.099009E-03	8.898513E-08
2.826096E+03	1.144303E-03	9.265248E-08
2.865900E+03	1.186044E-03	9.603225E-08
2.905704E+03	1.224547E-03	9.914975E-08
2.945508E+03	1.261236E-03	1.021204E-07
2.985312E+03	1.298383E-03	1.051281E-07
2.995263E+03	1.308065E-03	1.059120E-07
3.005214E+03	1.318011E-03	1.067173E-07
3.015165E+03	1.328270E-03	1.075480E-07
3.025116E+03	1.338922E-03	1.084105E-07
3.035067E+03	1.349993E-03	1.093069E-07
3.045019E+03	1.361539E-03	1.102417E-07
3.054970E+03	1.373678E-03	1.112246E-07
3.064921E+03	1.386415E-03	1.122559E-07
3.074872E+03	1.399873E-03	1.133455E-07
3.084823E+03	1.414093E-03	1.144969E-07
3.094774E+03	1.429148E-03	1.157159E-07
3.104725E+03	1.445174E-03	1.170135E-07
3.114676E+03	1.462195E-03	1.183917E-07
3.124627E+03	1.480328E-03	1.198599E-07
3.134578E+03	1.499665E-03	1.214256E-07
3.144529E+03	1.520334E-03	1.230991E-07
3.154480E+03	1.542412E-03	1.248867E-07
3.164431E+03	1.566041E-03	1.267999E-07
3.174382E+03	1.591340E-03	1.288483E-07
3.184333E+03	1.618408E-03	1.310400E-07
3.194284E+03	1.647411E-03	1.333883E-07
3.204235E+03	1.678519E-03	1.359071E-07
3.214186E+03	1.711825E-03	1.386038E-07
3.224137E+03	1.747540E-03	1.414955E-07
3.234088E+03	1.785759E-03	1.445901E-07
3.244039E+03	1.826719E-03	1.479066E-07
3.253990E+03	1.870465E-03	1.514486E-07
3.263941E+03	1.917128E-03	1.552268E-07
3.273892E+03	1.966789E-03	1.592478E-07
3.283843E+03	2.019379E-03	1.635059E-07
3.293795E+03	2.074761E-03	1.679901E-07
3.303746E+03	2.132503E-03	1.726654E-07
3.313697E+03	2.191987E-03	1.774817E-07
3.323648E+03	2.252167E-03	1.823543E-07
3.333599E+03	2.311469E-03	1.871559E-07
3.343550E+03	2.367706E-03	1.917093E-07
3.353501E+03	2.418769E-03	1.958438E-07
3.363452E+03	2.464328E-03	1.995326E-07
3.373403E+03	2.504356E-03	2.027736E-07
3.383354E+03	2.538862E-03	2.055675E-07
3.393305E+03	2.568879E-03	2.079980E-07
3.403256E+03	2.595385E-03	2.101441E-07
3.413207E+03	2.618943E-03	2.120515E-07
3.423158E+03	2.640238E-03	2.137758E-07
3.433109E+03	2.659250E-03	2.153151E-07
3.443060E+03	2.675386E-03	2.166216E-07
3.453011E+03	2.688174E-03	2.176570E-07
3.462962E+03	2.696451E-03	2.183272E-07
3.472913E+03	2.698772E-03	2.185151E-07
3.482864E+03	2.695107E-03	2.182183E-07
3.492815E+03	2.685904E-03	2.174732E-07
3.502766E+03	2.671881E-03	2.163377E-07
3.512717E+03	2.655095E-03	2.149786E-07
3.522668E+03	2.637771E-03	2.135759E-07
3.532620E+03	2.621592E-03	2.122659E-07
3.542571E+03	2.607998E-03	2.111652E-07
3.552522E+03	2.597452E-03	2.103113E-07
3.562473E+03	2.589597E-03	2.096753E-07
3.572424E+03	2.584249E-03	2.092422E-07
3.581479E+03	2.325683E-03	1.883066E-07
3.582415E+03	2.323684E-03	1.881447E-07
3.583340E+03	2.321464E-03	1.879650E-07
3.584275E+03	2.318913E-03	1.877585E-07
3.585201E+03	2.316620E-03	1.875728E-07
3.586126E+03	2.314291E-03	1.873842E-07
3.587062E+03	2.312182E-03	1.872134E-07
3.587987E+03	2.310148E-03	1.870487E-07
3.588913E+03	2.307598E-03	1.868423E-07
3.589848E+03	2.304754E-03	1.866120E-07
3.590773E+03	2.302389E-03	1.864205E-07
