#wls	flux	fluxerr
1.592167E+03	2.143227E-04	7.227515E-06
1.631971E+03	2.151984E-04	7.252014E-06
1.671775E+03	2.150391E-04	7.241539E-06
1.711579E+03	2.138280E-04	7.195600E-06
1.751383E+03	2.115518E-04	7.113829E-06
1.791187E+03	2.080371E-04	6.990480E-06
1.830992E+03	2.033170E-04	6.826759E-06
1.870796E+03	1.972620E-04	6.618424E-06
1.910600E+03	1.898842E-04	6.365986E-06
1.950404E+03	1.813809E-04	6.076166E-06
1.990208E+03	1.720815E-04	5.760089E-06
2.030012E+03	1.625708E-04	5.437388E-06
2.069817E+03	1.539337E-04	5.144342E-06
2.109621E+03	1.473009E-04	4.918651E-06
2.149425E+03	1.435914E-04	4.790820E-06
2.189229E+03	1.431228E-04	4.771196E-06
2.229033E+03	1.455442E-04	4.847822E-06
2.268837E+03	1.501913E-04	4.998353E-06
2.308641E+03	1.564661E-04	5.202706E-06
2.348446E+03	1.639735E-04	5.447617E-06
2.388250E+03	1.724524E-04	5.724317E-06
2.428054E+03	1.818319E-04	6.030361E-06
2.467858E+03	1.919896E-04	6.361618E-06
2.507662E+03	2.028800E-04	6.716514E-06
2.547466E+03	2.143700E-04	7.090581E-06
2.587271E+03	2.263653E-04	7.480653E-06
2.627075E+03	2.386608E-04	7.879917E-06
2.666879E+03	2.511633E-04	8.285279E-06
2.706683E+03	2.637832E-04	8.693769E-06
2.746487E+03	2.764898E-04	9.104378E-06
2.786291E+03	2.893667E-04	9.519861E-06
2.826096E+03	3.025050E-04	9.943207E-06
2.865900E+03	3.161959E-04	1.038397E-05
2.905704E+03	3.307257E-04	1.085152E-05
2.945508E+03	3.465159E-04	1.135961E-05
2.985312E+03	3.639384E-04	1.192035E-05
2.995263E+03	3.685880E-04	1.207002E-05
3.005214E+03	3.733859E-04	1.222448E-05
3.015165E+03	3.783375E-04	1.238392E-05
3.025116E+03	3.834509E-04	1.254859E-05
3.035067E+03	3.887013E-04	1.271768E-05
3.045019E+03	3.941497E-04	1.289318E-05
3.054970E+03	3.998395E-04	1.307651E-05
