#wls	flux	fluxerr
1.592167E+03	9.328959E-18	2.044132E-19
1.631971E+03	9.451479E-18	2.063653E-19
1.671775E+03	9.554868E-18	2.078648E-19
1.711579E+03	9.634663E-18	2.088187E-19
1.751383E+03	9.692324E-18	2.092636E-19
1.791187E+03	9.718409E-18	2.090013E-19
1.830992E+03	9.708534E-18	2.079455E-19
1.870796E+03	9.651858E-18	2.058742E-19
1.910600E+03	9.539428E-18	2.026097E-19
1.950404E+03	9.366021E-18	1.980572E-19
1.990208E+03	9.136967E-18	1.923468E-19
2.030012E+03	8.879299E-18	1.860618E-19
2.069817E+03	8.642086E-18	1.802354E-19
2.109621E+03	8.500434E-18	1.764215E-19
2.149425E+03	8.518133E-18	1.759093E-19
2.189229E+03	8.723117E-18	1.792229E-19
2.229033E+03	9.096121E-18	1.859080E-19
2.268837E+03	9.587943E-18	1.949075E-19
2.308641E+03	1.014546E-17	2.051049E-19
2.348446E+03	1.073022E-17	2.157013E-19
2.388250E+03	1.131488E-17	2.261370E-19
2.428054E+03	1.189309E-17	2.362816E-19
2.467858E+03	1.246125E-17	2.460628E-19
2.507662E+03	1.302234E-17	2.555384E-19
2.547466E+03	1.358148E-17	2.648072E-19
2.587271E+03	1.414462E-17	2.739812E-19
2.627075E+03	1.472042E-17	2.832222E-19
2.666879E+03	1.530981E-17	2.925390E-19
2.706683E+03	1.592384E-17	3.021323E-19
2.746487E+03	1.656559E-17	3.120461E-19
2.786291E+03	1.724060E-17	3.223691E-19
2.826096E+03	1.795443E-17	3.331864E-19
2.865900E+03	1.871268E-17	3.445808E-19
2.905704E+03	1.952108E-17	3.566342E-19
2.945508E+03	2.038912E-17	3.694920E-19
2.985312E+03	2.131608E-17	3.831113E-19
2.995263E+03	2.155925E-17	3.866712E-19
3.005214E+03	2.180684E-17	3.902895E-19
3.015165E+03	2.205896E-17	3.939674E-19
3.025116E+03	2.231594E-17	3.977103E-19
3.035067E+03	2.257877E-17	4.015349E-19
3.045019E+03	2.284828E-17	4.054556E-19
3.054970E+03	2.312482E-17	4.094776E-19
3.064921E+03	2.340825E-17	4.135973E-19
3.074872E+03	2.369844E-17	4.178119E-19
3.084823E+03	2.399529E-17	4.221187E-19
3.094774E+03	2.429872E-17	4.265154E-19
3.104725E+03	2.460442E-17	4.309258E-19
3.114676E+03	2.492079E-17	4.354961E-19
3.124627E+03	2.524359E-17	4.401513E-19
3.134578E+03	2.557281E-17	4.448904E-19
3.144529E+03	2.590845E-17	4.497124E-19
3.154480E+03	2.625052E-17	4.546169E-19
3.164431E+03	2.659904E-17	4.596032E-19
3.174382E+03	2.695405E-17	4.646714E-19
3.184333E+03	2.731560E-17	4.698214E-19
3.194284E+03	2.768375E-17	4.750534E-19
3.204235E+03	2.805858E-17	4.803678E-19
3.214186E+03	2.844504E-17	4.858485E-19
3.224137E+03	2.883353E-17	4.913305E-19
3.234088E+03	2.922896E-17	4.968968E-19
3.244039E+03	2.963145E-17	5.025487E-19
3.253990E+03	3.004112E-17	5.082872E-19
3.263941E+03	3.045810E-17	5.141138E-19
3.273892E+03	3.088253E-17	5.200297E-19
3.283843E+03	3.131455E-17	5.260364E-19
3.293795E+03	3.175431E-17	5.321356E-19
3.303746E+03	3.220200E-17	5.383293E-19
3.313697E+03	3.265777E-17	5.446192E-19
3.323648E+03	3.312181E-17	5.510073E-19
3.333599E+03	3.359430E-17	5.574957E-19
3.343550E+03	3.407545E-17	5.640867E-19
3.353501E+03	3.456546E-17	5.707826E-19
3.363452E+03	3.507054E-17	5.776847E-19
3.373403E+03	3.557900E-17	5.845990E-19
3.383354E+03	3.609699E-17	5.916259E-19
3.393305E+03	3.662475E-17	5.987682E-19
3.403256E+03	3.716253E-17	6.060287E-19
3.413207E+03	3.771058E-17	6.134104E-19
3.423158E+03	3.826916E-17	6.209163E-19
3.433109E+03	3.883856E-17	6.285496E-19
