#wls	flux	fluxerr
1.600000E+03	6.328323E-17	2.195465E-18
1.640000E+03	6.340120E-17	2.198321E-18
1.680000E+03	6.345261E-17	2.198849E-18
1.720000E+03	6.343606E-17	2.197005E-18
1.760000E+03	6.335263E-17	2.192831E-18
1.800000E+03	6.321721E-17	2.186846E-18
1.840000E+03	6.302586E-17	2.178918E-18
1.880000E+03	6.278916E-17	2.169417E-18
1.920000E+03	6.254235E-17	2.159562E-18
1.960000E+03	6.228102E-17	2.149204E-18
2.000000E+03	6.204604E-17	2.139754E-18
2.040000E+03	6.184876E-17	2.131601E-18
2.080000E+03	6.172274E-17	2.125899E-18
2.120000E+03	6.169156E-17	2.123458E-18
2.160000E+03	6.177831E-17	2.125066E-18
2.200000E+03	6.201458E-17	2.131800E-18
2.240000E+03	6.240958E-17	2.143970E-18
2.280000E+03	6.299909E-17	2.162792E-18
2.320000E+03	6.378548E-17	2.188337E-18
2.360000E+03	6.478669E-17	2.221207E-18
2.400000E+03	6.600649E-17	2.261518E-18
2.440000E+03	6.745433E-17	2.309578E-18
2.480000E+03	6.912577E-17	2.365222E-18
2.520000E+03	7.102303E-17	2.428513E-18
2.560000E+03	7.313554E-17	2.499076E-18
2.600000E+03	7.545073E-17	2.576468E-18
2.640000E+03	7.798656E-17	2.661291E-18
2.680000E+03	8.070897E-17	2.752373E-18
2.720000E+03	8.362688E-17	2.850007E-18
2.760000E+03	8.674057E-17	2.954194E-18
2.800000E+03	9.005234E-17	3.065006E-18
2.840000E+03	9.355481E-17	3.182181E-18
2.880000E+03	9.726360E-17	3.306246E-18
2.920000E+03	1.011709E-16	3.436928E-18
2.960000E+03	1.052769E-16	3.574232E-18
3.000000E+03	1.096005E-16	3.718791E-18
3.010000E+03	1.107131E-16	3.755987E-18
3.020000E+03	1.118352E-16	3.793496E-18
3.030000E+03	1.129780E-16	3.831701E-18
3.040000E+03	1.141172E-16	3.869774E-18
3.050000E+03	1.152761E-16	3.908510E-18
3.060000E+03	1.164541E-16	3.947883E-18
3.070000E+03	1.176263E-16	3.987050E-18
3.080000E+03	1.188162E-16	4.026813E-18
3.090000E+03	1.200229E-16	4.067139E-18
3.100000E+03	1.212214E-16	4.107177E-18
3.110000E+03	1.224473E-16	4.148138E-18
3.120000E+03	1.236631E-16	4.188748E-18
3.130000E+03	1.249045E-16	4.230218E-18
3.140000E+03	1.261338E-16	4.271272E-18
3.150000E+03	1.273868E-16	4.313122E-18
3.160000E+03	1.286255E-16	4.354484E-18
3.170000E+03	1.298861E-16	4.396576E-18
3.180000E+03	1.311426E-16	4.438529E-18
3.190000E+03	1.324066E-16	4.480725E-18
3.200000E+03	1.336646E-16	4.522713E-18
3.210000E+03	1.349403E-16	4.565297E-18
3.220000E+03	1.362082E-16	4.607612E-18
3.230000E+03	1.374674E-16	4.649627E-18
3.240000E+03	1.387418E-16	4.692152E-18
3.250000E+03	1.400062E-16	4.734333E-18
3.260000E+03	1.412845E-16	4.776983E-18
3.270000E+03	1.425518E-16	4.819255E-18
3.280000E+03	1.438201E-16	4.861559E-18
3.290000E+03	1.450893E-16	4.903887E-18
3.300000E+03	1.463596E-16	4.946251E-18
3.310000E+03	1.476434E-16	4.989071E-18
3.320000E+03	1.489168E-16	5.031537E-18
3.330000E+03	1.502053E-16	5.074507E-18
3.340000E+03	1.514852E-16	5.117189E-18
3.350000E+03	1.527828E-16	5.160465E-18
3.360000E+03	1.540871E-16	5.203969E-18
3.370000E+03	1.554007E-16	5.247782E-18
3.380000E+03	1.567377E-16	5.292389E-18
3.390000E+03	1.580890E-16	5.337476E-18
3.400000E+03	1.594576E-16	5.383149E-18
3.410000E+03	1.608593E-16	5.429936E-18
3.420000E+03	1.622976E-16	5.477962E-18
3.430000E+03	1.637527E-16	5.526554E-18
3.440000E+03	1.652652E-16	5.577083E-18
3.450000E+03	1.668155E-16	5.628889E-18
3.460000E+03	1.684084E-16	5.682134E-18
3.470000E+03	1.700606E-16	5.737380E-18
3.480000E+03	1.717762E-16	5.794765E-18
3.490000E+03	1.735555E-16	5.854304E-18
3.500000E+03	1.753978E-16	5.915966E-18
3.510000E+03	1.772901E-16	5.979317E-18
3.520000E+03	1.792431E-16	6.044716E-18
