#wls	flux	fluxerr
1.600000E+03	3.762683E-17	3.954392E-17
1.640000E+03	3.781969E-17	3.965546E-17
1.680000E+03	3.801478E-17	3.976606E-17
1.720000E+03	3.821341E-17	3.987709E-17
1.760000E+03	3.841720E-17	3.999018E-17
1.800000E+03	3.862818E-17	4.010731E-17
1.840000E+03	3.884872E-17	4.023067E-17
1.880000E+03	3.907494E-17	4.035586E-17
1.920000E+03	3.932323E-17	4.049927E-17
1.960000E+03	3.959042E-17	4.065685E-17
2.000000E+03	3.988025E-17	4.083146E-17
2.040000E+03	4.020350E-17	4.103289E-17
2.080000E+03	4.055097E-17	4.125022E-17
2.120000E+03	4.094059E-17	4.149987E-17
2.160000E+03	4.137018E-17	4.177738E-17
2.200000E+03	4.185126E-17	4.209172E-17
2.240000E+03	4.237482E-17	4.243068E-17
2.280000E+03	4.296633E-17	4.281610E-17
2.320000E+03	4.361678E-17	4.323450E-17
2.360000E+03	4.433086E-17	4.368546E-17
2.400000E+03	4.512766E-17	4.418170E-17
2.440000E+03	4.599052E-17	4.469975E-17
2.480000E+03	4.694610E-17	4.525731E-17
2.520000E+03	4.798489E-17	4.583531E-17
2.560000E+03	4.912717E-17	4.644172E-17
2.600000E+03	5.036345E-17	4.705409E-17
2.640000E+03	5.170726E-17	4.766957E-17
2.680000E+03	5.316504E-17	4.827594E-17
2.720000E+03	5.474378E-17	4.885841E-17
2.760000E+03	5.645110E-17	4.939934E-17
2.800000E+03	5.829530E-17	4.987770E-17
2.840000E+03	6.029429E-17	5.027605E-17
2.880000E+03	6.244957E-17	5.055769E-17
2.920000E+03	6.477182E-17	5.068823E-17
2.960000E+03	6.727250E-17	5.062739E-17
3.000000E+03	6.996365E-17	5.032820E-17
3.010000E+03	7.067452E-17	5.021482E-17
3.020000E+03	7.139710E-17	5.008131E-17
3.030000E+03	7.212144E-17	4.991969E-17
3.040000E+03	7.286790E-17	4.974305E-17
3.050000E+03	7.363686E-17	4.955024E-17
3.060000E+03	7.440799E-17	4.932628E-17
3.070000E+03	7.519166E-17	4.907707E-17
3.080000E+03	7.599855E-17	4.880825E-17
3.090000E+03	7.680782E-17	4.850504E-17
3.100000E+03	7.764077E-17	4.817972E-17
3.110000E+03	7.848699E-17	4.782429E-17
3.120000E+03	7.935751E-17	4.744395E-17
3.130000E+03	8.023075E-17	4.702431E-17
3.140000E+03	8.111761E-17	4.657058E-17
3.150000E+03	8.202935E-17	4.608766E-17
3.160000E+03	8.295509E-17	4.556768E-17
3.170000E+03	8.389488E-17	4.500917E-17
3.180000E+03	8.484878E-17	4.441065E-17
3.190000E+03	8.581683E-17	4.377060E-17
3.200000E+03	8.679905E-17	4.308748E-17
3.210000E+03	8.780721E-17	4.236543E-17
3.220000E+03	8.881785E-17	4.159142E-17
3.230000E+03	8.985459E-17	4.077511E-17
3.240000E+03	9.090559E-17	3.990925E-17
3.250000E+03	9.197079E-17	3.899231E-17
3.260000E+03	9.306238E-17	3.802780E-17
3.270000E+03	9.415577E-17	3.700407E-17
3.280000E+03	9.527553E-17	3.592964E-17
3.290000E+03	9.639657E-17	3.479365E-17
3.300000E+03	9.754389E-17	3.360425E-17
3.310000E+03	9.870478E-17	3.235582E-17
3.320000E+03	9.987907E-17	3.104770E-17
3.330000E+03	1.010797E-16	2.968347E-17
3.340000E+03	1.022803E-16	2.825549E-17
3.350000E+03	1.035071E-16	2.677218E-17
3.360000E+03	1.047468E-16	2.523158E-17
3.370000E+03	1.059857E-16	2.363394E-17
3.380000E+03	1.072507E-16	2.199077E-17
3.390000E+03	1.085421E-16	2.030960E-17
3.400000E+03	1.098323E-16	1.859765E-17
3.410000E+03	1.111492E-16	1.687931E-17
3.420000E+03	1.124649E-16	1.518034E-17
3.430000E+03	1.138076E-16	1.355222E-17
3.440000E+03	1.151638E-16	1.206698E-17
3.450000E+03	1.165335E-16	1.083685E-17
3.460000E+03	1.179172E-16	1.001490E-17
3.470000E+03	1.193154E-16	9.764429E-18
