#wls	flux	fluxerr	mangling_mask
3.418390E+03	1.892446E-15	6.886697E-16	9.141367E-01
3.421740E+03	1.904330E-15	5.233542E-16	9.150156E-01
3.425100E+03	1.903162E-15	5.168053E-16	9.159062E-01
3.428450E+03	1.961959E-15	4.551205E-16	9.168033E-01
3.431810E+03	1.998043E-15	4.439155E-16	9.177123E-01
3.435160E+03	2.049367E-15	4.476624E-16	9.186278E-01
3.438510E+03	2.110649E-15	4.219203E-16	9.195526E-01
3.441870E+03	2.186070E-15	4.443101E-16	9.204895E-01
3.445220E+03	2.239082E-15	4.256091E-16	9.214329E-01
3.448570E+03	2.316111E-15	4.319483E-16	9.223858E-01
3.451930E+03	2.410131E-15	3.615746E-16	9.233510E-01
3.455280E+03	2.508704E-15	3.645622E-16	9.243228E-01
3.458630E+03	2.590482E-15	3.578015E-16	9.253042E-01
3.461990E+03	2.701734E-15	3.249134E-16	9.262981E-01
3.465340E+03	2.786625E-15	3.635872E-16	9.272987E-01
3.468700E+03	2.861708E-15	3.693124E-16	9.283121E-01
3.472050E+03	2.944031E-15	3.848003E-16	9.293321E-01
3.475400E+03	3.017443E-15	3.894003E-16	9.303620E-01
3.478760E+03	3.087514E-15	4.082150E-16	9.314048E-01
3.482110E+03	3.129597E-15	4.169104E-16	9.324544E-01
3.485460E+03	3.173854E-15	4.338221E-16	9.335140E-01
3.488820E+03	3.218156E-15	4.174402E-16	9.345867E-01
3.492170E+03	3.256867E-15	4.736396E-16	9.356663E-01
3.495520E+03	3.287732E-15	4.649752E-16	9.367559E-01
3.498880E+03	3.372072E-15	4.638684E-16	9.378590E-01
3.502230E+03	3.412213E-15	4.632215E-16	9.389690E-01
3.505590E+03	3.478719E-15	5.383869E-16	9.400926E-01
3.508940E+03	3.507186E-15	5.603147E-16	9.412232E-01
3.512290E+03	3.533206E-15	5.412681E-16	9.423641E-01
3.515650E+03	3.578672E-15	5.357816E-16	9.435188E-01
3.519000E+03	3.592526E-15	5.282726E-16	9.446805E-01
3.522350E+03	3.602753E-15	5.167550E-16	9.458527E-01
3.525710E+03	3.613238E-15	5.459828E-16	9.470391E-01
3.529060E+03	3.666815E-15	5.561988E-16	9.482324E-01
3.532420E+03	3.681359E-15	5.346443E-16	9.494401E-01
3.535770E+03	3.671334E-15	5.260110E-16	9.506548E-01
3.539120E+03	3.654459E-15	4.674925E-16	9.518803E-01
3.542480E+03	3.639490E-15	5.128057E-16	9.531204E-01
3.545830E+03	3.619057E-15	5.132602E-16	9.543676E-01
3.549180E+03	3.597166E-15	5.132508E-16	9.556257E-01
3.552540E+03	3.574112E-15	4.390804E-16	9.568985E-01
3.555890E+03	3.548806E-15	4.089351E-16	9.581787E-01
3.559240E+03	3.525956E-15	4.057267E-16	9.594698E-01
3.562600E+03	3.508466E-15	4.218137E-16	9.607761E-01
3.565950E+03	3.463330E-15	4.265335E-16	9.620896E-01
3.569310E+03	3.428806E-15	4.214054E-16	9.634183E-01
3.572660E+03	3.402013E-15	3.588496E-16	9.647544E-01
3.576010E+03	3.349765E-15	3.421547E-16	9.661018E-01
3.579370E+03	3.294314E-15	3.417281E-16	9.674647E-01
3.582720E+03	3.256448E-15	3.544939E-16	9.688350E-01
3.586070E+03	3.200551E-15	3.427165E-16	9.702168E-01
3.589430E+03	3.173778E-15	2.736369E-16	9.716144E-01
3.592780E+03	3.163091E-15	2.718794E-16	9.730194E-01
3.596130E+03	3.128914E-15	2.883377E-16	9.744361E-01
3.599490E+03	3.130099E-15	3.113440E-16	9.758689E-01
3.602840E+03	3.157393E-15	3.059920E-16	9.773091E-01
3.606200E+03	3.158868E-15	2.889677E-16	9.787656E-01
3.609550E+03	3.147910E-15	2.944171E-16	9.802297E-01
3.612900E+03	3.147938E-15	2.872647E-16	9.817057E-01
3.616260E+03	3.129323E-15	2.872845E-16	9.831983E-01
3.619610E+03	3.111352E-15	2.860411E-16	9.846984E-01
3.622960E+03	3.107254E-15	2.665283E-16	9.862108E-01
3.626320E+03	3.112368E-15	2.767921E-16	9.877398E-01
3.629670E+03	3.169445E-15	2.707814E-16	9.892766E-01
3.633030E+03	3.182448E-15	2.757208E-16	9.908304E-01
3.636380E+03	3.214854E-15	2.753731E-16	9.923919E-01
3.639730E+03	3.256729E-15	2.764283E-16	9.939659E-01
3.643090E+03	3.304353E-15	2.664766E-16	9.955571E-01
3.646440E+03	3.338478E-15	2.252933E-16	9.971558E-01
3.649790E+03	3.412786E-15	2.388428E-16	9.987668E-01
3.653150E+03	3.489777E-15	2.410151E-16	1.000395E+00
3.656500E+03	3.569430E-15	2.213959E-16	1.002030E+00
3.659850E+03	3.635216E-15	2.224369E-16	1.003677E+00
3.663210E+03	3.720562E-15	2.238308E-16	1.005340E+00
3.666560E+03	3.773770E-15	2.320538E-16	1.007010E+00
3.669920E+03	3.836174E-15	2.625116E-16	1.008697E+00
3.673270E+03	3.916674E-15	2.397283E-16	1.010390E+00
3.676620E+03	3.978135E-15	2.452435E-16	1.012094E+00
3.679980E+03	4.042684E-15	2.403192E-16	1.013814E+00
3.683330E+03	4.095267E-15	2.664465E-16	1.015540E+00
3.686680E+03	4.162494E-15	2.683817E-16	1.017277E+00
3.690040E+03	4.228056E-15	2.613460E-16	1.019030E+00
3.693390E+03	4.275264E-15	2.680262E-16	1.020788E+00
3.696740E+03	4.298726E-15	2.558777E-16	1.022557E+00
3.700100E+03	4.310939E-15	2.568848E-16	1.024341E+00
3.703450E+03	4.310157E-15	2.568300E-16	1.026130E+00
3.706810E+03	4.316195E-15	2.571602E-16	1.027935E+00
3.710160E+03	4.304536E-15	2.631645E-16	1.029744E+00
3.713510E+03	4.273043E-15	2.618222E-16	1.031563E+00
3.716870E+03	4.238789E-15	2.227805E-16	1.033397E+00
3.720220E+03	4.202435E-15	2.212878E-16	1.035236E+00
3.723570E+03	4.169905E-15	2.114972E-16	1.037083E+00
3.726930E+03	4.122123E-15	2.093443E-16	1.038946E+00
3.730280E+03	4.056463E-15	1.973468E-16	1.040813E+00
3.733640E+03	3.972037E-15	2.002762E-16	1.042694E+00
3.736990E+03	3.886562E-15	2.063188E-16	1.044578E+00
3.740340E+03	3.791785E-15	1.994949E-16	1.046471E+00
3.743700E+03	3.679497E-15	2.021347E-16	1.048379E+00
3.747050E+03	3.566995E-15	1.957425E-16	1.050290E+00
3.750400E+03	3.466082E-15	2.184510E-16	1.052209E+00
3.753760E+03	3.351646E-15	2.158109E-16	1.054142E+00
3.757110E+03	3.230121E-15	2.144489E-16	1.056078E+00
3.760460E+03	3.116087E-15	1.870548E-16	1.058022E+00
3.763820E+03	2.996139E-15	1.908880E-16	1.059980E+00
3.767170E+03	2.886990E-15	1.861958E-16	1.061940E+00
3.770530E+03	2.768409E-15	1.852333E-16	1.063913E+00
3.773880E+03	2.646388E-15	1.888700E-16	1.065889E+00
3.777230E+03	2.526264E-15	1.854840E-16	1.067871E+00
3.780590E+03	2.415547E-15	1.857786E-16	1.069868E+00
3.783940E+03	2.312120E-15	1.668690E-16	1.071865E+00
3.787290E+03	2.217219E-15	1.689172E-16	1.073870E+00
3.790650E+03	2.138757E-15	1.608595E-16	1.075888E+00
3.794000E+03	2.084779E-15	1.665854E-16	1.077906E+00
3.797350E+03	2.029732E-15	1.348083E-16	1.079932E+00
3.800710E+03	1.991799E-15	1.388494E-16	1.081970E+00
3.804060E+03	1.967910E-15	1.283645E-16	1.084009E+00
3.807420E+03	1.946112E-15	1.288664E-16	1.086060E+00
3.810770E+03	1.947068E-15	1.273991E-16	1.088112E+00
3.814120E+03	1.963396E-15	1.280491E-16	1.090170E+00
3.817480E+03	1.984600E-15	1.108166E-16	1.092240E+00
3.820830E+03	2.014077E-15	1.029852E-16	1.094310E+00
3.824180E+03	2.071511E-15	1.061087E-16	1.096386E+00
3.827540E+03	2.136311E-15	1.012951E-16	1.098473E+00
3.830890E+03	2.214548E-15	1.031053E-16	1.100561E+00
3.834250E+03	2.293422E-15	9.828568E-17	1.102660E+00
3.837600E+03	2.365176E-15	1.010051E-16	1.104758E+00
3.840950E+03	2.464648E-15	1.066784E-16	1.106861E+00
3.844310E+03	2.567723E-15	1.113847E-16	1.108976E+00
3.847660E+03	2.674727E-15	1.127234E-16	1.111090E+00
