#wls	flux	fluxerr
1.592848E+03	1.125418E-03	5.994260E-05
1.632669E+03	1.144195E-03	6.057638E-05
1.672491E+03	1.164527E-03	6.127238E-05
1.712312E+03	1.186419E-03	6.202879E-05
1.752133E+03	1.209975E-03	6.284905E-05
1.791954E+03	1.235397E-03	6.374118E-05
1.831775E+03	1.262463E-03	6.469125E-05
1.871597E+03	1.291462E-03	6.571156E-05
1.911418E+03	1.322369E-03	6.679802E-05
1.951239E+03	1.355156E-03	6.794642E-05
1.991060E+03	1.389706E-03	6.914787E-05
2.030881E+03	1.425998E-03	7.039859E-05
2.070703E+03	1.463835E-03	7.168587E-05
2.110524E+03	1.502852E-03	7.298920E-05
2.150345E+03	1.542982E-03	7.430295E-05
2.190166E+03	1.583821E-03	7.560541E-05
2.229987E+03	1.625086E-03	7.688127E-05
2.269809E+03	1.666699E-03	7.812520E-05
2.309630E+03	1.708769E-03	7.934074E-05
2.349451E+03	1.751663E-03	8.054304E-05
2.389272E+03	1.795827E-03	8.175014E-05
2.429093E+03	1.841699E-03	8.297889E-05
2.468915E+03	1.889951E-03	8.425567E-05
2.508736E+03	1.941012E-03	8.559463E-05
2.548557E+03	1.995464E-03	8.701584E-05
2.588378E+03	2.053668E-03	8.852833E-05
2.628199E+03	2.116070E-03	9.014408E-05
2.668021E+03	2.182987E-03	9.186836E-05
2.707842E+03	2.254757E-03	9.370649E-05
2.747663E+03	2.331735E-03	9.566357E-05
2.787484E+03	2.414214E-03	9.774123E-05
2.827305E+03	2.502490E-03	9.994025E-05
2.867127E+03	2.596971E-03	1.022649E-04
2.906948E+03	2.697863E-03	1.047107E-04
2.946769E+03	2.805602E-03	1.072807E-04
2.986590E+03	2.920214E-03	1.099616E-04
2.996546E+03	2.950016E-03	1.106503E-04
3.006501E+03	2.980193E-03	1.113427E-04
3.016456E+03	3.010732E-03	1.120381E-04
3.026411E+03	3.041750E-03	1.127407E-04
3.036367E+03	3.073161E-03	1.134470E-04
3.046322E+03	3.104942E-03	1.141559E-04
3.056277E+03	3.137135E-03	1.148689E-04
3.066233E+03	3.169644E-03	1.155822E-04
3.076188E+03	3.202439E-03	1.162944E-04
3.086143E+03	3.235618E-03	1.170089E-04
3.096099E+03	3.269005E-03	1.177193E-04
3.106054E+03	3.302625E-03	1.184262E-04
3.116009E+03	3.336361E-03	1.191253E-04
3.125964E+03	3.370358E-03	1.198217E-04
