#wls	flux	fluxerr
1.592848E+03	7.644780E-05	4.464821E-05
1.632669E+03	7.882457E-05	4.569257E-05
1.672491E+03	8.128856E-05	4.676072E-05
1.712312E+03	8.381276E-05	4.783551E-05
1.752133E+03	8.642587E-05	4.893177E-05
1.791954E+03	8.912923E-05	5.004844E-05
1.831775E+03	9.190851E-05	5.117561E-05
1.871597E+03	9.476352E-05	5.231146E-05
1.911418E+03	9.772651E-05	5.347185E-05
1.951239E+03	1.007657E-04	5.463727E-05
1.991060E+03	1.038975E-04	5.581458E-05
2.030881E+03	1.071217E-04	5.700165E-05
2.070703E+03	1.104383E-04	5.819615E-05
2.110524E+03	1.138467E-04	5.939555E-05
2.150345E+03	1.173460E-04	6.059716E-05
2.190166E+03	1.209545E-04	6.180793E-05
2.229987E+03	1.246523E-04	6.301512E-05
2.269809E+03	1.284578E-04	6.422556E-05
2.309630E+03	1.323702E-04	6.543608E-05
2.349451E+03	1.363883E-04	6.664335E-05
2.389272E+03	1.404891E-04	6.783338E-05
2.429093E+03	1.447135E-04	6.902324E-05
2.468915E+03	1.490383E-04	7.019873E-05
2.508736E+03	1.534612E-04	7.135586E-05
2.548557E+03	1.580029E-04	7.250127E-05
2.588378E+03	1.626619E-04	7.363093E-05
2.628199E+03	1.674123E-04	7.472999E-05
2.668021E+03	1.723005E-04	7.581585E-05
2.707842E+03	1.773010E-04	7.687364E-05
2.747663E+03	1.824123E-04	7.789930E-05
2.787484E+03	1.876587E-04	7.889966E-05
2.827305E+03	1.930146E-04	7.986007E-05
2.867127E+03	1.985060E-04	8.078768E-05
2.906948E+03	2.041614E-04	8.168976E-05
2.946769E+03	2.099569E-04	8.255225E-05
2.986590E+03	2.158962E-04	8.337224E-05
2.996546E+03	2.173963E-04	8.356731E-05
3.006501E+03	2.189247E-04	8.376681E-05
3.016456E+03	2.204539E-04	8.396011E-05
3.026411E+03	2.220119E-04	8.415773E-05
3.036367E+03	2.235431E-04	8.433856E-05
3.046322E+03	2.251312E-04	8.453415E-05
3.056277E+03	2.266927E-04	8.471293E-05
3.066233E+03	2.282835E-04	8.489587E-05
3.076188E+03	2.299039E-04	8.508291E-05
3.086143E+03	2.314978E-04	8.525313E-05
3.096099E+03	2.331217E-04	8.542740E-05
3.106054E+03	2.347759E-04	8.560565E-05
3.116009E+03	2.364322E-04	8.577746E-05
3.125964E+03	2.380908E-04	8.594284E-05
3.135920E+03	2.397804E-04	8.611211E-05
3.145875E+03	2.414726E-04	8.627490E-05
3.155830E+03	2.431677E-04	8.643125E-05
3.165786E+03	2.448945E-04	8.659139E-05
3.175741E+03	2.466246E-04	8.674504E-05
3.185696E+03	2.483872E-04	8.690242E-05
3.195652E+03	2.501535E-04	8.705330E-05
3.205607E+03	2.519238E-04	8.719772E-05
3.215562E+03	2.537274E-04	8.734578E-05
3.225517E+03	2.555356E-04	8.748736E-05
3.235473E+03	2.573779E-04	8.763252E-05
3.245428E+03	2.592253E-04	8.777120E-05
3.255383E+03	2.610780E-04	8.790342E-05
3.265339E+03	2.629660E-04	8.803917E-05
3.275294E+03	2.648600E-04	8.816847E-05
3.285249E+03	2.667901E-04	8.830123E-05
3.295205E+03	2.687269E-04	8.842754E-05
3.305160E+03	2.707007E-04	8.855726E-05
3.315115E+03	2.726821E-04	8.868055E-05
3.325070E+03	2.746712E-04	8.879745E-05
3.335026E+03	2.766986E-04	8.891769E-05
3.344981E+03	2.787650E-04	8.904121E-05
3.354936E+03	2.808102E-04	8.914871E-05
3.364892E+03	2.828952E-04	8.925949E-05
3.374847E+03	2.850205E-04	8.937351E-05
3.384802E+03	2.871564E-04	8.948117E-05
3.394758E+03	2.893337E-04	8.959200E-05
