#wls	flux	fluxerr
1.592848E+03	3.451913E-18	1.607464E-18
1.632669E+03	3.613534E-18	1.670745E-18
1.672491E+03	3.763285E-18	1.727299E-18
1.712312E+03	3.897865E-18	1.775713E-18
1.752133E+03	4.015199E-18	1.815182E-18
1.791954E+03	4.106985E-18	1.842139E-18
1.831775E+03	4.165124E-18	1.853234E-18
1.871597E+03	4.179699E-18	1.844442E-18
1.911418E+03	4.141282E-18	1.812108E-18
1.951239E+03	4.044621E-18	1.754551E-18
1.991060E+03	3.895015E-18	1.674723E-18
2.030881E+03	3.715929E-18	1.583255E-18
2.070703E+03	3.552396E-18	1.499531E-18
2.110524E+03	3.462902E-18	1.447849E-18
2.150345E+03	3.500402E-18	1.449254E-18
2.190166E+03	3.690967E-18	1.512872E-18
2.229987E+03	4.031608E-18	1.635551E-18
2.269809E+03	4.493608E-18	1.803804E-18
2.309630E+03	5.039675E-18	2.001181E-18
2.349451E+03	5.633493E-18	2.212220E-18
2.389272E+03	6.248314E-18	2.425791E-18
2.429093E+03	6.868357E-18	2.635434E-18
2.468915E+03	7.483748E-18	2.837213E-18
2.508736E+03	8.090861E-18	3.029709E-18
2.548557E+03	8.691980E-18	3.213759E-18
2.588378E+03	9.284499E-18	3.388376E-18
2.628199E+03	9.874789E-18	3.555856E-18
2.668021E+03	1.046241E-17	3.715953E-18
2.707842E+03	1.105135E-17	3.869986E-18
2.747663E+03	1.164406E-17	4.018655E-18
2.787484E+03	1.224096E-17	4.161929E-18
2.827305E+03	1.284588E-17	4.300903E-18
2.867127E+03	1.346084E-17	4.435991E-18
2.906948E+03	1.408774E-17	4.567528E-18
2.946769E+03	1.472844E-17	4.695788E-18
2.986590E+03	1.538252E-17	4.820289E-18
2.996546E+03	1.555077E-17	4.851610E-18
3.006501E+03	1.571762E-17	4.881966E-18
3.016456E+03	1.588760E-17	4.912761E-18
3.026411E+03	1.605648E-17	4.942680E-18
3.036367E+03	1.623006E-17	4.973504E-18
3.046322E+03	1.640720E-17	5.004859E-18
3.056277E+03	1.658830E-17	5.036852E-18
3.066233E+03	1.677301E-17	5.069357E-18
3.076188E+03	1.696097E-17	5.102253E-18
3.086143E+03	1.715190E-17	5.135433E-18
3.096099E+03	1.734794E-17	5.169526E-18
3.106054E+03	1.754398E-17	5.202986E-18
3.116009E+03	1.774468E-17	5.237192E-18
3.125964E+03	1.794738E-17	5.271340E-18
3.135920E+03	1.814937E-17	5.304621E-18
3.145875E+03	1.835550E-17	5.338452E-18
3.155830E+03	1.856568E-17	5.372787E-18
3.165786E+03	1.877465E-17	5.406086E-18
3.175741E+03	1.898482E-17	5.439048E-18
3.185696E+03	1.919875E-17	5.472390E-18
3.195652E+03	1.941105E-17	5.504569E-18
3.205607E+03	1.962697E-17	5.537069E-18
3.215562E+03	1.984379E-17	5.569107E-18
3.225517E+03	2.006146E-17	5.600663E-18
3.235473E+03	2.027992E-17	5.631718E-18
3.245428E+03	2.049915E-17	5.662255E-18
3.255383E+03	2.072194E-17	5.693036E-18
3.265339E+03	2.094266E-17	5.722508E-18
3.275294E+03	2.116697E-17	5.752210E-18
3.285249E+03	2.139205E-17	5.781367E-18
3.295205E+03	2.161501E-17	5.809194E-18
3.305160E+03	2.184167E-17	5.837251E-18
3.315115E+03	2.206916E-17	5.864759E-18
3.325070E+03	2.230049E-17	5.892507E-18
3.335026E+03	2.252978E-17	5.918931E-18
3.344981E+03	2.276002E-17	5.944817E-18
3.354936E+03	2.299431E-17	5.970965E-18
3.364892E+03	2.322665E-17	5.995804E-18
3.374847E+03	2.346320E-17	6.020921E-18
3.384802E+03	2.370099E-17	6.045536E-18
3.394758E+03	2.394008E-17	6.069659E-18
3.404713E+03	2.418055E-17	6.093300E-18
3.414668E+03	2.442248E-17	6.116470E-18
3.424623E+03	2.466915E-17	6.139976E-18
3.434579E+03	2.491426E-17	6.162236E-18
3.444534E+03	2.516107E-17	6.184056E-18
3.454489E+03	2.541295E-17	6.206249E-18
3.464445E+03	2.566676E-17	6.228027E-18
3.474400E+03	2.592259E-17	6.249399E-18
3.484355E+03	2.618054E-17	6.270378E-18
3.494311E+03	2.644070E-17	6.290973E-18
3.504266E+03	2.670317E-17	6.311195E-18
3.514221E+03	2.696804E-17	6.331052E-18
3.524176E+03	2.723541E-17	6.350556E-18
3.534132E+03	2.750887E-17	6.370518E-18
3.544087E+03	2.778158E-17	6.389339E-18
3.554042E+03	2.806062E-17	6.408634E-18
3.563998E+03	2.834262E-17	6.427609E-18
3.573953E+03	2.862411E-17	6.445465E-18
3.583908E+03	2.891232E-17	6.463817E-18
3.593864E+03	2.920379E-17	6.481866E-18
3.603819E+03	2.949864E-17	6.499616E-18
3.613774E+03	2.980065E-17	6.517877E-18
3.623729E+03	3.010258E-17	6.535043E-18
3.633685E+03	3.040821E-17	6.551922E-18
3.643640E+03	3.072138E-17	6.569319E-18
3.653595E+03	3.103471E-17	6.585628E-18
3.663551E+03	3.135586E-17	6.602457E-18
3.673506E+03	3.168117E-17	6.619001E-18
3.683461E+03	3.200686E-17	6.634457E-18
3.693417E+03	3.234076E-17	6.650430E-18
3.703372E+03	3.267913E-17	6.666113E-18
3.713327E+03	3.302206E-17	6.681503E-18
3.723282E+03	3.336967E-17	6.696596E-18
3.733238E+03	3.372205E-17	6.711387E-18
3.743193E+03	3.407929E-17	6.725870E-18
3.753148E+03	3.444560E-17	6.740839E-18
3.763104E+03	3.481291E-17	6.754684E-18
3.773059E+03	3.518540E-17	6.768201E-18
3.783014E+03	3.556733E-17	6.782176E-18
3.792970E+03	3.595047E-17	6.795003E-18
3.802925E+03	3.634331E-17	6.808267E-18
3.812880E+03	3.673748E-17	6.820362E-18
3.822835E+03	3.714161E-17	6.832869E-18
3.832791E+03	3.755153E-17	6.844977E-18
3.842746E+03	3.796734E-17	6.856672E-18
3.852701E+03	3.838472E-17	6.867150E-18
3.862657E+03	3.881253E-17	6.877973E-18
3.872612E+03	3.924651E-17	6.888340E-18
3.882567E+03	3.968668E-17	6.898222E-18
3.892523E+03	4.013320E-17	6.907614E-18
3.902478E+03	4.058613E-17	6.916494E-18
3.912433E+03	4.104550E-17	6.924836E-18
3.922388E+03	4.151142E-17	6.932621E-18
3.932344E+03	4.198396E-17	6.939830E-18
3.942299E+03	4.246318E-17	6.946438E-18
3.952254E+03	4.294915E-17	6.952423E-18
3.962210E+03	4.344681E-17	6.958544E-18
3.972165E+03	4.394652E-17	6.963210E-18
3.982120E+03	4.445318E-17	6.967183E-18
3.992076E+03	4.496680E-17	6.970429E-18
4.002031E+03	4.548750E-17	6.972931E-18
4.011986E+03	4.602035E-17	6.975424E-18
4.021941E+03	4.655528E-17	6.976338E-18
4.031897E+03	4.709739E-17	6.976419E-18
4.041852E+03	4.764666E-17	6.975631E-18
4.051807E+03	4.820321E-17	6.973955E-18
4.061763E+03	4.877230E-17	6.972111E-18
4.071718E+03	4.934341E-17	6.968552E-18
4.081673E+03	4.992179E-17	6.964002E-18
4.091629E+03	5.050745E-17	6.958431E-18
4.101584E+03	5.110042E-17	6.951808E-18
4.111539E+03	5.170622E-17	6.944844E-18
4.121494E+03	5.231380E-17	6.936013E-18
4.131450E+03	5.292860E-17	6.926023E-18
4.141405E+03	5.355066E-17	6.914849E-18
4.151360E+03	5.417990E-17	6.902450E-18
4.161316E+03	5.481632E-17	6.888798E-18
4.171271E+03	5.545978E-17	6.873847E-18
4.181226E+03	5.611034E-17	6.857575E-18
4.191182E+03	5.676788E-17	6.839945E-18
4.201137E+03	5.743232E-17	6.820918E-18
4.211092E+03	5.810354E-17	6.800460E-18
4.221047E+03	5.877536E-17	6.777833E-18
4.231003E+03	5.945991E-17	6.754425E-18
4.240958E+03	6.015091E-17	6.729484E-18
4.250913E+03	6.084200E-17	6.702291E-18
4.260869E+03	6.154561E-17	6.674210E-18
4.270824E+03	6.224884E-17	6.643817E-18
4.280779E+03	6.296438E-17	6.612467E-18
4.290735E+03	6.367916E-17	6.578766E-18
4.300690E+03	6.440599E-17	6.544042E-18
4.310645E+03	6.513154E-17	6.506923E-18
4.320601E+03	6.586213E-17	6.468064E-18
4.330556E+03	6.659758E-17	6.427446E-18
4.340511E+03	6.733757E-17	6.385045E-18
4.350466E+03	6.808195E-17	6.340851E-18
4.360422E+03	6.883044E-17	6.294852E-18
4.370377E+03	6.958273E-17	6.247032E-18
4.380332E+03	7.033146E-17	6.196761E-18
4.390288E+03	7.109043E-17	6.145290E-18
4.400243E+03	7.184508E-17	6.091376E-18
4.410198E+03	7.260950E-17	6.036255E-18
4.420154E+03	7.336880E-17	5.978716E-18
4.430109E+03	7.412991E-17	5.919389E-18
4.440064E+03	7.489237E-17	5.858284E-18
4.450019E+03	7.565582E-17	5.795426E-18
4.459975E+03	7.641993E-17	5.730851E-18
4.469930E+03	7.718423E-17	5.664587E-18
4.479885E+03	7.794828E-17	5.596677E-18
4.489841E+03	7.870396E-17	5.526628E-18
4.499796E+03	7.946623E-17	5.455592E-18
