#wls	flux	fluxerr
1.600000E+03	9.307579E-17	7.145967E-17
1.640000E+03	9.455815E-17	7.174849E-17
1.680000E+03	9.604270E-17	7.198980E-17
1.720000E+03	9.754373E-17	7.219275E-17
1.760000E+03	9.907611E-17	7.236635E-17
1.800000E+03	1.006191E-16	7.249327E-17
1.840000E+03	1.021690E-16	7.256924E-17
1.880000E+03	1.037591E-16	7.261579E-17
1.920000E+03	1.053490E-16	7.260240E-17
1.960000E+03	1.069720E-16	7.255016E-17
2.000000E+03	1.086053E-16	7.244136E-17
2.040000E+03	1.102636E-16	7.228375E-17
2.080000E+03	1.119232E-16	7.205972E-17
2.120000E+03	1.136176E-16	7.178900E-17
2.160000E+03	1.153419E-16	7.146585E-17
2.200000E+03	1.170714E-16	7.107262E-17
2.240000E+03	1.188393E-16	7.062750E-17
2.280000E+03	1.206199E-16	7.011265E-17
2.320000E+03	1.224459E-16	6.954488E-17
2.360000E+03	1.242905E-16	6.890617E-17
2.400000E+03	1.261657E-16	6.820106E-17
2.440000E+03	1.280831E-16	6.743312E-17
2.480000E+03	1.300334E-16	6.659482E-17
2.520000E+03	1.320067E-16	6.567879E-17
2.560000E+03	1.340511E-16	6.470646E-17
2.600000E+03	1.361347E-16	6.365901E-17
2.640000E+03	1.382637E-16	6.253692E-17
2.680000E+03	1.404427E-16	6.133981E-17
2.720000E+03	1.426745E-16	6.006647E-17
2.760000E+03	1.449790E-16	5.872269E-17
2.800000E+03	1.473543E-16	5.730482E-17
2.840000E+03	1.497775E-16	5.580189E-17
2.880000E+03	1.522976E-16	5.423049E-17
2.920000E+03	1.548672E-16	5.257190E-17
2.960000E+03	1.575276E-16	5.083981E-17
3.000000E+03	1.602435E-16	4.902264E-17
3.010000E+03	1.609339E-16	4.855612E-17
3.020000E+03	1.616346E-16	4.808646E-17
3.030000E+03	1.623449E-16	4.761341E-17
3.040000E+03	1.630467E-16	4.713174E-17
3.050000E+03	1.637740E-16	4.665131E-17
3.060000E+03	1.644914E-16	4.616204E-17
3.070000E+03	1.652155E-16	4.566873E-17
3.080000E+03	1.659287E-16	4.516660E-17
3.090000E+03	1.666639E-16	4.466483E-17
3.100000E+03	1.674036E-16	4.415857E-17
3.110000E+03	1.681468E-16	4.364772E-17
3.120000E+03	1.688928E-16	4.313220E-17
3.130000E+03	1.696408E-16	4.261195E-17
3.140000E+03	1.703900E-16	4.208693E-17
3.150000E+03	1.711558E-16	4.156106E-17
3.160000E+03	1.719211E-16	4.103024E-17
3.170000E+03	1.726849E-16	4.049449E-17
3.180000E+03	1.734625E-16	3.995757E-17
3.190000E+03	1.742369E-16	3.941570E-17
